Wavelength	Paint	Reflectance	LowCI	UpperCI
280	Brown	5.705333333	5.559164367	5.8515023
281	Brown	5.695	5.549760018	5.840239982
282	Brown	5.686666667	5.541037531	5.832295803
283	Brown	5.619	5.473000017	5.764999983
284	Brown	5.5345	5.386981997	5.682018003
285	Brown	5.553666667	5.406039193	5.701294141
286	Brown	5.596333333	5.448899815	5.743766852
287	Brown	5.633666667	5.487092407	5.780240926
288	Brown	5.7045	5.557150881	5.851849119
289	Brown	5.709666667	5.563432551	5.855900782
290	Brown	5.728333333	5.583963201	5.872703466
291	Brown	5.8005	5.655850343	5.945149657
292	Brown	5.868666667	5.726357929	6.010975405
293	Brown	5.913666667	5.771472119	6.055861214
294	Brown	5.8615	5.718946894	6.004053106
295	Brown	5.735	5.592954733	5.877045267
296	Brown	5.651666667	5.504417911	5.798915422
297	Brown	5.707	5.557623176	5.856376824
298	Brown	5.76	5.610527639	5.909472361
299	Brown	5.859	5.711231666	6.006768334
300	Brown	5.974	5.827150586	6.120849414
301	Brown	5.968333333	5.824519456	6.112147211
302	Brown	5.917	5.770869705	6.063130295
303	Brown	5.928333333	5.779540209	6.077126457
304	Brown	5.9585	5.809741557	6.107258443
305	Brown	5.975333333	5.824388352	6.126278314
306	Brown	6.032666667	5.882519141	6.182814192
307	Brown	6.038	5.890070848	6.185929152
308	Brown	5.962	5.812386825	6.111613175
309	Brown	5.880666667	5.731195575	6.030137759
310	Brown	5.8005	5.648577287	5.952422713
311	Brown	5.835	5.681932274	5.988067726
312	Brown	5.929666667	5.774804921	6.084528412
313	Brown	6.017333333	5.863216199	6.171450468
314	Brown	6.1285	5.973536802	6.283463198
315	Brown	6.141666667	5.988227578	6.295105755
316	Brown	6.112666667	5.959144609	6.266188725
317	Brown	6.1305	5.976676301	6.284323699
318	Brown	6.143	5.991522601	6.294477399
319	Brown	6.147666667	5.997366285	6.297967048
320	Brown	6.1425	5.994049856	6.290950144
321	Brown	6.117333333	5.968759721	6.265906945
322	Brown	6.102333333	5.95149328	6.253173387
323	Brown	6.078666667	5.92639426	6.230939073
324	Brown	6.0705	5.918502383	6.222497617
325	Brown	6.058333333	5.906656935	6.210009732
326	Brown	6.053333333	5.903359426	6.20330724
327	Brown	6.062	5.913011825	6.210988175
328	Brown	6.088666667	5.942803019	6.234530314
329	Brown	6.118666667	5.974996921	6.262336412
330	Brown	6.127666667	5.985274802	6.270058531
331	Brown	6.116	5.9725694	6.2594306
332	Brown	6.066333333	5.91917565	6.213491017
333	Brown	6.03	5.878626428	6.181373572
334	Brown	6.01	5.857512784	6.162487216
335	Brown	6.027	5.873455649	6.180544351
336	Brown	6.043666667	5.888626375	6.198706958
337	Brown	6.056	5.902064536	6.209935464
338	Brown	6.067	5.912434073	6.221565927
339	Brown	6.043	5.889126528	6.196873472
340	Brown	6.023333333	5.8704219	6.176244766
341	Brown	6.0245	5.869437214	6.179562786
342	Brown	6.011333333	5.857182967	6.165483699
343	Brown	6.007333333	5.852456939	6.162209727
344	Brown	6.003333333	5.848999706	6.157666961
345	Brown	5.9985	5.844637919	6.152362081
346	Brown	6.016333333	5.861423615	6.171243051
347	Brown	6.039666667	5.885503738	6.193829595
348	Brown	6.05	5.895766791	6.204233209
349	Brown	6.0595	5.905842884	6.213157116
350	Brown	6.066666667	5.913097041	6.220236292
351	Brown	6.079666667	5.925317214	6.234016119
352	Brown	6.104	5.949711399	6.258288601
353	Brown	6.111333333	5.957577287	6.26508938
354	Brown	6.094	5.939987531	6.248012469
355	Brown	6.082333333	5.928644288	6.236022379
356	Brown	6.0775	5.923676763	6.231323237
357	Brown	6.078333333	5.923787557	6.23287911
358	Brown	6.079	5.923856144	6.234143856
359	Brown	6.061666667	5.905309654	6.21802368
360	Brown	6.059	5.902073468	6.215926532
361	Brown	6.065666667	5.907891664	6.223441669
362	Brown	6.078333333	5.920499023	6.236167643
363	Brown	6.099	5.940746267	6.257253733
364	Brown	6.121666667	5.963174659	6.280158674
365	Brown	6.122333333	5.964362061	6.280304606
366	Brown	6.147	5.988142145	6.305857855
367	Brown	6.183	6.024893783	6.341106217
368	Brown	6.198333333	6.040322836	6.356343831
369	Brown	6.215333333	6.056362318	6.374304349
370	Brown	6.206666667	6.047128031	6.366205302
371	Brown	6.215	6.054880009	6.375119991
372	Brown	6.241	6.080309069	6.401690931
