"FID","SubGroupName","GroupName","AttackTime","ColorCode","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","AttackedColor","Fate","DropYN","PriorExposureYN","DelayToAttack","AttackNb","PrevPalatabality"
18303,NA,NA,2019-03-21 00:03:19,1,1,2019-03-21 00:02:07,0,NA,"Green","Consumed",0,NA,72,1,NA
18307,NA,NA,2019-03-21 00:03:09,1,-1,2019-03-21 00:02:07,0,NA,"Green","Rejected",1,NA,62,1,NA
18307,NA,NA,2019-03-21 00:03:16,1,1,2019-03-21 00:02:07,0,NA,"Green","Consumed",0,NA,69,2,NA
18326,NA,NA,2019-03-21 00:02:13,2,1,2019-03-21 00:02:05,0,NA,"Brown","Consumed",0,NA,8,1,NA
18336,NA,NA,2019-03-21 00:02:23,2,1,2019-03-21 00:02:06,0,NA,"Brown","Consumed",0,NA,17,1,NA
18340,NA,NA,2019-03-21 00:02:44,1,1,2019-03-21 00:02:10,0,NA,"Green","Consumed",0,NA,34,1,NA
18342,NA,NA,2019-03-21 00:02:11,1,1,2019-03-21 00:02:06,0,NA,"Green","Consumed",0,NA,5,1,NA
18353,NA,NA,2019-03-21 00:02:51,1,1,2019-03-21 00:02:04,0,NA,"Green","Consumed",0,NA,47,1,NA
18355,NA,NA,2019-03-21 00:04:00,1,1,2019-03-21 00:02:06,0,NA,"Green","Consumed",0,NA,114,1,NA
18401,NA,NA,2019-03-21 00:02:28,2,1,2019-03-21 00:02:15,0,NA,"Brown","Consumed",0,NA,13,1,NA
18411,NA,NA,2019-03-21 00:02:45,2,1,2019-03-21 00:02:13,0,NA,"Brown","Consumed",0,NA,32,1,NA
18446,NA,NA,2019-03-21 00:02:48,1,1,2019-03-21 00:02:08,0,NA,"Green","Consumed",0,NA,40,1,NA
18454,NA,NA,2019-03-21 00:06:50,2,-1,2019-03-21 00:02:01,0,NA,"Brown","Rejected",1,NA,289,1,NA
18454,NA,NA,2019-03-21 00:06:54,2,-1,2019-03-21 00:02:01,0,NA,"Brown","Rejected",1,NA,293,2,NA
18454,NA,NA,2019-03-21 00:07:04,1,-1,2019-03-21 00:02:01,0,NA,"Green","Rejected",1,NA,303,3,NA
18454,NA,NA,2019-03-21 00:07:06,1,1,2019-03-21 00:02:01,0,NA,"Green","Consumed",0,NA,305,4,NA
18472,NA,NA,2019-03-21 00:58:47,1,1,2019-03-21 00:02:37,0,NA,"Green","Consumed",0,NA,3370,1,NA
18475,NA,NA,2019-03-21 00:12:34,1,1,2019-03-21 00:02:21,0,NA,"Green","Consumed",0,NA,613,1,NA
18476,NA,NA,2019-03-21 00:02:21,1,1,2019-03-21 00:02:11,0,NA,"Green","Consumed",0,NA,10,1,NA
18478,NA,NA,2019-03-21 00:38:30,1,1,2019-03-21 00:02:10,0,NA,"Green","Consumed",0,NA,2180,1,NA
18491,NA,NA,2019-03-21 00:03:20,1,1,2019-03-21 00:02:34,0,NA,"Green","Consumed",0,NA,46,1,NA
18495,NA,NA,2019-03-21 00:04:47,1,1,2019-03-21 00:03:19,0,NA,"Green","Consumed",0,NA,88,1,NA
18503,NA,NA,2019-03-21 00:17:51,1,1,2019-03-21 00:03:10,0,NA,"Green","Consumed",0,NA,881,1,NA
18506,NA,NA,2019-03-21 00:02:20,1,1,2019-03-21 00:02:05,0,NA,"Green","Consumed",0,NA,15,1,NA
18508,NA,NA,2019-03-21 00:02:43,2,1,2019-03-21 00:02:29,0,NA,"Brown","Consumed",0,NA,14,1,NA
18516,NA,NA,2019-03-21 00:02:09,2,1,2019-03-21 00:02:06,0,NA,"Brown","Consumed",0,NA,3,1,NA
18532,NA,NA,2019-03-21 00:19:44,1,1,2019-03-21 00:02:13,0,NA,"Green","Consumed",0,NA,1051,1,NA
18539,NA,NA,2019-03-21 00:03:36,2,-1,2019-03-21 00:02:08,0,NA,"Brown","Rejected",1,NA,88,1,NA
18539,NA,NA,2019-03-21 00:03:52,1,1,2019-03-21 00:02:08,0,NA,"Green","Consumed",0,NA,104,2,NA
18544,NA,NA,2019-03-21 00:02:18,1,1,2019-03-21 00:02:14,0,NA,"Green","Consumed",0,NA,4,1,NA
18549,NA,NA,2019-03-21 00:03:30,2,1,2019-03-21 00:02:11,0,NA,"Brown","Consumed",0,NA,79,1,NA
18551,NA,NA,2019-03-21 00:02:13,2,1,2019-03-21 00:02:03,0,NA,"Brown","Consumed",0,NA,10,1,NA
18553,NA,NA,2019-03-21 00:26:25,2,1,2019-03-21 00:02:09,0,NA,"Brown","Consumed",0,NA,1456,1,NA
18560,NA,NA,2019-03-21 00:03:08,2,1,2019-03-21 00:02:03,0,NA,"Brown","Consumed",0,NA,65,1,NA
18576,NA,NA,2019-03-21 00:05:09,2,1,2019-03-21 00:02:05,0,NA,"Brown","Consumed",0,NA,184,1,NA
