"FID","SubGroupName","GroupName","AttackTime","ColorCode","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","AttackedColor","Fate","DropYN","PriorExposureYN","DelayToAttack","AttackedPalatability","AttackedPalatabilityTreatment","AttackNb","PrevPalatabality"
18585,"GreenDB","DB",2019-03-21 00:02:11,1,1,2019-03-21 00:02:03,0,NA,"Green","Consumed",0,"1",8,0,"DB",1,NA
18586,"GreenDB","Water",2019-03-21 00:07:37,1,1,2019-03-21 00:02:26,0,NA,"Green","Consumed",0,"0",311,0,"DB",1,NA
18587,"BrownDB","DB",2019-03-21 00:03:43,1,1,2019-03-21 00:02:19,0,NA,"Green","Consumed",0,"1",84,1,"Control",1,NA
18588,"BrownDB","Water",2019-03-21 00:02:36,2,-1,2019-03-21 00:02:23,0,NA,"Brown","Rejected",1,"0",13,0,"DB",1,NA
18588,"BrownDB","Water",2019-03-21 00:06:37,1,1,2019-03-21 00:02:23,0,NA,"Green","Consumed",0,"0",254,1,"Control",2,0
18589,"GreenDB","DB",2019-03-21 00:17:58,1,-1,2019-03-21 00:03:34,0,NA,"Green","Rejected",1,"1",864,0,"DB",1,NA
18589,"GreenDB","DB",2019-03-21 00:21:59,2,1,2019-03-21 00:03:34,0,NA,"Brown","Consumed",0,"1",1105,1,"Control",2,0
18590,"GreenDB","Water",2019-03-21 00:02:46,2,1,2019-03-21 00:02:21,0,NA,"Brown","Consumed",0,"0",25,1,"Control",1,NA
18591,"BrownDB","DB",2019-03-21 00:03:12,2,1,2019-03-21 00:02:30,0,NA,"Brown","Consumed",0,"1",42,0,"DB",1,NA
18592,"BrownDB","Water",2019-03-21 00:03:22,1,1,2019-03-21 00:02:38,0,NA,"Green","Consumed",0,"0",44,1,"Control",1,NA
18593,"GreenDB","DB",2019-03-21 00:04:34,1,-1,2019-03-21 00:03:13,0,NA,"Green","Rejected",1,"1",81,0,"DB",1,NA
18593,"GreenDB","DB",2019-03-21 00:08:39,2,1,2019-03-21 00:03:13,0,NA,"Brown","Consumed",0,"1",326,1,"Control",2,0
18594,"GreenDB","Water",2019-03-21 00:03:12,1,-1,2019-03-21 00:01:59,0,NA,"Green","Rejected",1,"0",73,0,"DB",1,NA
18594,"GreenDB","Water",2019-03-21 00:51:21,1,-1,2019-03-21 00:01:59,0,NA,"Green","Rejected",1,"0",2962,0,"DB",2,0
18594,"GreenDB","Water",2019-03-21 00:51:55,2,1,2019-03-21 00:01:59,0,NA,"Brown","Consumed",0,"0",2996,1,"Control",3,0
18595,"BrownDB","DB",2019-03-21 00:04:28,1,1,2019-03-21 00:03:16,0,NA,"Green","Consumed",0,"1",72,1,"Control",1,NA
18596,"BrownDB","Water",2019-03-21 01:44:56,2,-1,2019-03-21 00:03:22,0,NA,"Brown","Rejected",1,"0",6094,0,"DB",1,NA
18597,"GreenDB","DB",2019-03-21 00:05:09,1,1,2019-03-21 00:03:28,0,NA,"Green","Consumed",0,"1",101,0,"DB",1,NA
18598,"GreenDB","Water",2019-03-21 00:05:13,1,1,2019-03-21 00:04:07,0,NA,"Green","Consumed",0,"0",66,0,"DB",1,NA
18599,"BrownDB","DB",2019-03-21 00:03:32,1,-1,2019-03-21 00:03:07,0,NA,"Green","Rejected",1,"1",25,1,"Control",1,NA
18599,"BrownDB","DB",2019-03-21 00:03:38,2,1,2019-03-21 00:03:07,0,NA,"Brown","Consumed",0,"1",31,0,"DB",2,1
18600,"BrownDB","Water",2019-03-21 00:06:29,2,-1,2019-03-21 00:03:32,0,NA,"Brown","Rejected",1,"0",177,0,"DB",1,NA
18600,"BrownDB","Water",2019-03-21 00:07:29,2,-1,2019-03-21 00:03:32,0,NA,"Brown","Rejected",1,"0",237,0,"DB",2,0
18600,"BrownDB","Water",2019-03-21 00:09:03,1,-1,2019-03-21 00:03:32,0,NA,"Green","Rejected",1,"0",331,1,"Control",3,0
18600,"BrownDB","Water",2019-03-21 00:09:07,1,-1,2019-03-21 00:03:32,0,NA,"Green","Rejected",1,"0",335,1,"Control",4,1
18600,"BrownDB","Water",2019-03-21 00:09:31,2,-1,2019-03-21 00:03:32,0,NA,"Brown","Rejected",1,"0",359,0,"DB",5,1
18600,"BrownDB","Water",2019-03-21 00:13:57,2,1,2019-03-21 00:03:32,0,NA,"Brown","Consumed",0,"0",625,0,"DB",6,0
18601,"GreenDB","DB",2019-03-21 00:04:05,1,-1,2019-03-21 00:03:51,0,NA,"Green","Rejected",1,"1",14,0,"DB",1,NA
18601,"GreenDB","DB",2019-03-21 01:11:14,1,-1,2019-03-21 00:03:51,0,NA,"Green","Rejected",1,"1",4043,0,"DB",2,0
18601,"GreenDB","DB",2019-03-21 01:57:25,1,-1,2019-03-21 00:03:51,0,NA,"Green","Rejected",1,"1",6814,0,"DB",3,0
18602,"GreenDB","Water",2019-03-21 00:02:15,2,1,2019-03-21 00:02:04,0,NA,"Brown","Consumed",0,"0",11,1,"Control",1,NA
18603,"BrownDB","DB",2019-03-21 00:03:08,2,-1,2019-03-21 00:02:47,0,NA,"Brown","Rejected",1,"1",21,0,"DB",1,NA
18603,"BrownDB","DB",2019-03-21 00:13:18,2,1,2019-03-21 00:02:47,0,NA,"Brown","Consumed",0,"1",631,0,"DB",2,0
18605,"GreenDB","DB",2019-03-21 00:02:42,2,1,2019-03-21 00:02:32,0,NA,"Brown","Consumed",0,"1",10,1,"Control",1,NA
18606,"GreenDB","Water",2019-03-21 00:13:14,2,1,2019-03-21 00:02:41,0,NA,"Brown","Consumed",0,"0",633,1,"Control",1,NA
18607,"BrownDB","DB",2019-03-21 00:04:23,2,1,2019-03-21 00:04:17,0,NA,"Brown","Consumed",0,"1",6,0,"DB",1,NA
18608,"BrownDB","Water",2019-03-21 00:04:36,2,1,2019-03-21 00:04:29,0,NA,"Brown","Consumed",0,"0",7,0,"DB",1,NA
18608,"BrownDB","Water",2019-03-21 00:05:53,2,1,2019-03-21 00:04:29,0,NA,"Brown","Consumed",0,"0",84,0,"DB",2,0
18609,"GreenDB","DB",2019-03-21 00:02:25,2,1,2019-03-21 00:02:05,0,NA,"Brown","Consumed",0,"1",20,1,"Control",1,NA
18610,"GreenDB","Water",2019-03-21 00:04:58,2,1,2019-03-21 00:02:54,0,NA,"Brown","Consumed",0,"0",124,1,"Control",1,NA
18611,"BrownDB","DB",2019-03-21 00:03:17,2,1,2019-03-21 00:02:33,0,NA,"Brown","Consumed",0,"1",44,0,"DB",1,NA
18612,"BrownDB","Water",2019-03-21 00:02:54,1,1,2019-03-21 00:02:46,0,NA,"Green","Consumed",0,"0",8,1,"Control",1,NA
18613,"GreenDB","DB",2019-03-21 00:03:26,2,1,2019-03-21 00:02:51,0,NA,"Brown","Consumed",0,"1",35,1,"Control",1,NA
18614,"GreenDB","Water",2019-03-21 00:06:07,1,-1,2019-03-21 00:04:27,0,NA,"Green","Rejected",1,"0",100,0,"DB",1,NA
18614,"GreenDB","Water",2019-03-21 00:08:22,2,1,2019-03-21 00:04:27,0,NA,"Brown","Consumed",0,"0",235,1,"Control",2,0
18615,"BrownDB","DB",2019-03-21 00:04:44,2,1,2019-03-21 00:04:35,0,NA,"Brown","Consumed",0,"1",9,0,"DB",1,NA
18616,"BrownDB","Water",2019-03-21 00:08:27,1,1,2019-03-21 00:05:13,0,NA,"Green","Consumed",0,"0",194,1,"Control",1,NA
18617,"GreenDB","DB",2019-03-21 00:39:15,2,-1,2019-03-21 00:02:21,0,NA,"Brown","Rejected",1,"1",2214,1,"Control",1,NA
18617,"GreenDB","DB",2019-03-21 00:39:20,2,1,2019-03-21 00:02:21,0,NA,"Brown","Consumed",0,"1",2219,1,"Control",2,1
18618,"GreenDB","Water",2019-03-21 00:02:58,2,-1,2019-03-21 00:02:49,0,NA,"Brown","Rejected",1,"0",9,1,"Control",1,NA
18618,"GreenDB","Water",2019-03-21 00:03:07,2,1,2019-03-21 00:02:49,0,NA,"Brown","Consumed",0,"0",18,1,"Control",2,1
18619,"BrownDB","DB",2019-03-21 01:40:41,1,-1,2019-03-21 00:07:22,0,NA,"Green","Rejected",1,"1",5599,1,"Control",1,NA
18620,"BrownDB","Water",2019-03-21 00:02:20,2,1,2019-03-21 00:02:20,0,NA,"Brown","Consumed",0,"0",0,0,"DB",1,NA
18621,"GreenDB","DB",2019-03-21 00:03:24,1,-1,2019-03-21 00:03:14,0,NA,"Green","Rejected",1,"1",10,0,"DB",1,NA
18621,"GreenDB","DB",2019-03-21 00:05:52,2,1,2019-03-21 00:03:14,0,NA,"Brown","Consumed",0,"1",158,1,"Control",2,0
18622,"GreenDB","Water",2019-03-21 00:03:06,1,-1,2019-03-21 00:02:58,0,NA,"Green","Rejected",1,"0",8,0,"DB",1,NA
18622,"GreenDB","Water",2019-03-21 00:03:40,1,-1,2019-03-21 00:02:58,0,NA,"Green","Rejected",1,"0",42,0,"DB",2,0
18622,"GreenDB","Water",2019-03-21 00:04:49,2,1,2019-03-21 00:02:58,0,NA,"Brown","Consumed",0,"0",111,1,"Control",3,0
18623,"BrownDB","DB",2019-03-21 00:15:06,1,1,2019-03-21 00:00:00,0,NA,"Green","Consumed",0,"1",906,1,"Control",1,NA
18624,"BrownDB","Water",2019-03-21 00:03:06,2,1,2019-03-21 00:02:30,0,NA,"Brown","Consumed",0,"0",36,0,"DB",1,NA
18625,"GreenDB","DB",2019-03-21 00:03:39,1,1,2019-03-21 00:03:11,0,NA,"Green","Consumed",0,"1",28,0,"DB",1,NA
18626,"GreenDB","Water",2019-03-21 00:03:35,2,-1,2019-03-21 00:03:12,0,NA,"Brown","Rejected",1,"0",23,1,"Control",1,NA
18626,"GreenDB","Water",2019-03-21 00:04:00,1,1,2019-03-21 00:03:12,0,NA,"Green","Consumed",0,"0",48,0,"DB",2,1
18627,"BrownDB","DB",2019-03-21 00:05:15,2,1,2019-03-21 00:03:26,0,NA,"Brown","Consumed",0,"1",109,0,"DB",1,NA
18628,"BrownDB","Water",2019-03-21 00:07:19,1,-1,2019-03-21 00:04:40,0,NA,"Green","Rejected",1,"0",159,1,"Control",1,NA
18628,"BrownDB","Water",2019-03-21 00:07:21,1,1,2019-03-21 00:04:40,0,NA,"Green","Consumed",0,"0",161,1,"Control",2,1
18629,"GreenDB","DB",2019-03-21 00:02:15,2,1,2019-03-21 00:02:08,0,NA,"Brown","Consumed",0,"1",7,1,"Control",1,NA
18631,"BrownDB","DB",2019-03-21 00:03:10,1,1,2019-03-21 00:02:46,0,NA,"Green","Consumed",0,"1",24,1,"Control",1,NA
18633,"GreenDB","DB",2019-03-21 00:02:58,1,1,2019-03-21 00:02:53,0,NA,"Green","Consumed",0,"1",5,0,"DB",1,NA
18634,"GreenDB","Water",2019-03-21 00:03:10,1,-1,2019-03-21 00:02:25,0,NA,"Green","Rejected",1,"0",45,0,"DB",1,NA
18634,"GreenDB","Water",2019-03-21 00:03:14,2,1,2019-03-21 00:02:25,0,NA,"Brown","Consumed",0,"0",49,1,"Control",2,0
18635,"BrownDB","DB",2019-03-21 00:08:12,2,-1,2019-03-21 00:02:22,0,NA,"Brown","Rejected",1,"1",350,0,"DB",1,NA
18635,"BrownDB","DB",2019-03-21 00:22:47,1,1,2019-03-21 00:02:22,0,NA,"Green","Consumed",0,"1",1225,1,"Control",2,0
18636,"BrownDB","Water",2019-03-21 00:03:36,2,-1,2019-03-21 00:02:30,0,NA,"Brown","Rejected",1,"0",66,0,"DB",1,NA
18636,"BrownDB","Water",2019-03-21 00:03:55,2,1,2019-03-21 00:02:30,0,NA,"Brown","Consumed",0,"0",85,0,"DB",2,0
18637,"GreenDB","DB",2019-03-21 00:03:12,1,1,2019-03-21 00:02:31,0,NA,"Green","Consumed",0,"1",41,0,"DB",1,NA
18638,"GreenDB","Water",2019-03-21 00:03:23,2,1,2019-03-21 00:02:27,0,NA,"Brown","Consumed",0,"0",56,1,"Control",1,NA
18639,"BrownDB","DB",2019-03-21 00:05:04,1,1,2019-03-21 00:02:26,0,NA,"Green","Consumed",0,"1",158,1,"Control",1,NA
18640,"BrownDB","Water",2019-03-21 00:03:10,1,1,2019-03-21 00:03:04,0,NA,"Green","Consumed",0,"0",6,1,"Control",1,NA
18641,"GreenDB","DB",2019-03-21 00:05:54,1,-1,2019-03-21 00:02:56,0,NA,"Green","Rejected",1,"1",178,0,"DB",1,NA
18641,"GreenDB","DB",2019-03-21 00:06:19,1,-1,2019-03-21 00:02:56,0,NA,"Green","Rejected",1,"1",203,0,"DB",2,0
18641,"GreenDB","DB",2019-03-21 00:06:34,1,-1,2019-03-21 00:02:56,0,NA,"Green","Rejected",1,"1",218,0,"DB",3,0
18641,"GreenDB","DB",2019-03-21 00:06:39,1,-1,2019-03-21 00:02:56,0,NA,"Green","Rejected",1,"1",223,0,"DB",4,0
18641,"GreenDB","DB",2019-03-21 00:07:05,1,-1,2019-03-21 00:02:56,0,NA,"Green","Rejected",1,"1",249,0,"DB",5,0
18641,"GreenDB","DB",2019-03-21 00:07:49,1,1,2019-03-21 00:02:56,0,NA,"Green","Consumed",0,"1",293,0,"DB",6,0
18642,"GreenDB","Water",2019-03-21 00:04:24,1,-1,2019-03-21 00:02:47,0,NA,"Green","Rejected",1,"0",97,0,"DB",1,NA
18642,"GreenDB","Water",2019-03-21 00:07:12,1,-1,2019-03-21 00:02:47,0,NA,"Green","Rejected",1,"0",265,0,"DB",2,0
18642,"GreenDB","Water",2019-03-21 00:43:42,1,-1,2019-03-21 00:02:47,0,NA,"Green","Rejected",1,"0",2455,0,"DB",3,0
