"FID","SubGroupName","GroupName","AttackTime","ColorCode","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","AttackedColor","Fate","DropYN","PriorExposureYN","PriorExposure","DelayToAttack","AttackedPalatability","AttackedPalatabilityTreatment","AttackNb","PrevPalatabality"
18651,"BrownDB",NA,2019-03-21 00:03:17,1,-1,2019-03-21 00:03:05,0,NA,"Green","Rejected",1,NA,NA,12,1,"Control",1,NA
18651,"BrownDB",NA,2019-03-21 00:04:09,2,1,2019-03-21 00:03:05,0,NA,"Brown","Consumed",0,NA,NA,64,0,"DB",2,1
18652,"BrownDB",NA,2019-03-21 00:02:53,1,1,2019-03-21 00:02:49,0,NA,"Green","Consumed",0,NA,NA,4,1,"Control",1,NA
18654,"GreenDB",NA,2019-03-21 00:02:53,2,1,2019-03-21 00:02:36,0,NA,"Brown","Consumed",0,NA,NA,17,1,"Control",1,NA
18655,"BrownDB",NA,2019-03-21 00:02:16,2,-1,2019-03-21 00:02:04,0,NA,"Brown","Rejected",1,NA,NA,12,0,"DB",1,NA
18655,"BrownDB",NA,2019-03-21 00:04:00,2,1,2019-03-21 00:02:04,0,NA,"Brown","Consumed",0,NA,NA,116,0,"DB",2,0
18656,"BrownDB",NA,2019-03-21 00:21:29,1,1,2019-03-21 00:02:15,0,NA,"Green","Consumed",0,NA,NA,1154,1,"Control",1,NA
18658,"GreenDB",NA,2019-03-21 00:05:16,2,1,2019-03-21 00:02:22,0,NA,"Brown","Consumed",0,NA,NA,174,1,"Control",1,NA
18659,"BrownDB",NA,2019-03-21 00:03:08,2,1,2019-03-21 00:02:20,0,NA,"Brown","Consumed",0,NA,NA,48,0,"DB",1,NA
18661,"GreenDB",NA,2019-03-21 00:10:35,1,-1,2019-03-21 00:02:06,0,NA,"Green","Rejected",1,NA,NA,509,0,"DB",1,NA
18661,"GreenDB",NA,2019-03-21 00:10:39,2,-1,2019-03-21 00:02:06,0,NA,"Brown","Rejected",1,NA,NA,513,1,"Control",2,0
