"FID","SubGroupName","GroupName","AttackTime","ColorCode","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","AttackedColor","Fate","DropYN","DelayToAttack","PriorExposureYN","PriorExposure","PalatExpo","AttackNb","PrevPalatabality"
18303,NA,NA,2019-03-22 00:03:19,1,1,2019-03-22 00:02:07,0,NA,"Green","Consumed",0,72,NA,NA,"NA",1,NA
18307,NA,NA,2019-03-22 00:03:09,1,-1,2019-03-22 00:02:07,0,NA,"Green","Rejected",1,62,NA,NA,"NA",1,NA
18326,NA,NA,2019-03-22 00:02:13,2,1,2019-03-22 00:02:05,0,NA,"Brown","Consumed",0,8,NA,NA,"NA",1,NA
18336,NA,NA,2019-03-22 00:02:23,2,1,2019-03-22 00:02:06,0,NA,"Brown","Consumed",0,17,NA,NA,"NA",1,NA
18340,NA,NA,2019-03-22 00:02:44,1,1,2019-03-22 00:02:10,0,NA,"Green","Consumed",0,34,NA,NA,"NA",1,NA
18342,NA,NA,2019-03-22 00:02:11,1,1,2019-03-22 00:02:06,0,NA,"Green","Consumed",0,5,NA,NA,"NA",1,NA
18353,NA,NA,2019-03-22 00:02:51,1,1,2019-03-22 00:02:04,0,NA,"Green","Consumed",0,47,NA,NA,"NA",1,NA
18355,NA,NA,2019-03-22 00:04:00,1,1,2019-03-22 00:02:06,0,NA,"Green","Consumed",0,114,NA,NA,"NA",1,NA
18401,NA,NA,2019-03-22 00:02:28,2,1,2019-03-22 00:02:15,0,NA,"Brown","Consumed",0,13,NA,NA,"NA",1,NA
18411,NA,NA,2019-03-22 00:02:45,2,1,2019-03-22 00:02:13,0,NA,"Brown","Consumed",0,32,NA,NA,"NA",1,NA
18446,NA,NA,2019-03-22 00:02:48,1,1,2019-03-22 00:02:08,0,NA,"Green","Consumed",0,40,NA,NA,"NA",1,NA
18454,NA,NA,2019-03-22 00:06:50,2,-1,2019-03-22 00:02:01,0,NA,"Brown","Rejected",1,289,NA,NA,"NA",1,NA
18472,NA,NA,2019-03-22 00:58:47,1,1,2019-03-22 00:02:37,0,NA,"Green","Consumed",0,3370,NA,NA,"NA",1,NA
18475,NA,NA,2019-03-22 00:12:34,1,1,2019-03-22 00:02:21,0,NA,"Green","Consumed",0,613,NA,NA,"NA",1,NA
18476,NA,NA,2019-03-22 00:02:21,1,1,2019-03-22 00:02:11,0,NA,"Green","Consumed",0,10,NA,NA,"NA",1,NA
18478,NA,NA,2019-03-22 00:38:30,1,1,2019-03-22 00:02:10,0,NA,"Green","Consumed",0,2180,NA,NA,"NA",1,NA
18491,NA,NA,2019-03-22 00:03:20,1,1,2019-03-22 00:02:34,0,NA,"Green","Consumed",0,46,NA,NA,"NA",1,NA
18495,NA,NA,2019-03-22 00:04:47,1,1,2019-03-22 00:03:19,0,NA,"Green","Consumed",0,88,NA,NA,"NA",1,NA
18503,NA,NA,2019-03-22 00:17:51,1,1,2019-03-22 00:03:10,0,NA,"Green","Consumed",0,881,NA,NA,"NA",1,NA
18506,NA,NA,2019-03-22 00:02:20,1,1,2019-03-22 00:02:05,0,NA,"Green","Consumed",0,15,NA,NA,"NA",1,NA
18508,NA,NA,2019-03-22 00:02:43,2,1,2019-03-22 00:02:29,0,NA,"Brown","Consumed",0,14,NA,NA,"NA",1,NA
18516,NA,NA,2019-03-22 00:02:09,2,1,2019-03-22 00:02:06,0,NA,"Brown","Consumed",0,3,NA,NA,"NA",1,NA
18532,NA,NA,2019-03-22 00:19:44,1,1,2019-03-22 00:02:13,0,NA,"Green","Consumed",0,1051,NA,NA,"NA",1,NA
18539,NA,NA,2019-03-22 00:03:36,2,-1,2019-03-22 00:02:08,0,NA,"Brown","Rejected",1,88,NA,NA,"NA",1,NA
18544,NA,NA,2019-03-22 00:02:18,1,1,2019-03-22 00:02:14,0,NA,"Green","Consumed",0,4,NA,NA,"NA",1,NA
18549,NA,NA,2019-03-22 00:03:30,2,1,2019-03-22 00:02:11,0,NA,"Brown","Consumed",0,79,NA,NA,"NA",1,NA
18551,NA,NA,2019-03-22 00:02:13,2,1,2019-03-22 00:02:03,0,NA,"Brown","Consumed",0,10,NA,NA,"NA",1,NA
18553,NA,NA,2019-03-22 00:26:25,2,1,2019-03-22 00:02:09,0,NA,"Brown","Consumed",0,1456,NA,NA,"NA",1,NA
18560,NA,NA,2019-03-22 00:03:08,2,1,2019-03-22 00:02:03,0,NA,"Brown","Consumed",0,65,NA,NA,"NA",1,NA
18576,NA,NA,2019-03-22 00:05:09,2,1,2019-03-22 00:02:05,0,NA,"Brown","Consumed",0,184,NA,NA,"NA",1,NA
