"FID","SubGroupName","GroupName","AttackTime","AttackedTermiteColor","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","DelayToAttack","AttackedTermitePalatability"
18651,"BrownDB",NA,2019-01-09 00:03:17,"Green","Dropped",2019-01-09 00:03:05,0,NA,12,1
18652,"BrownDB",NA,2019-01-09 00:02:53,"Green","Consumed",2019-01-09 00:02:49,0,NA,4,1
18654,"GreenDB",NA,2019-01-09 00:02:53,"Brown","Consumed",2019-01-09 00:02:36,0,NA,17,1
18655,"BrownDB",NA,2019-01-09 00:02:16,"Brown","Dropped",2019-01-09 00:02:04,0,NA,12,0
18656,"BrownDB",NA,2019-01-09 00:21:29,"Green","Consumed",2019-01-09 00:02:15,0,NA,1154,1
18658,"GreenDB",NA,2019-01-09 00:05:16,"Brown","Consumed",2019-01-09 00:02:22,0,NA,174,1
18659,"BrownDB",NA,2019-01-09 00:03:08,"Brown","Consumed",2019-01-09 00:02:20,0,NA,48,0
18661,"GreenDB",NA,2019-01-09 00:10:35,"Green","Dropped",2019-01-09 00:02:06,0,NA,509,0
18662,"GreenDB",NA,2019-01-09 00:02:53,"Brown","Dropped",2019-01-09 00:02:03,0,NA,50,1
18663,"BrownDB",NA,2019-01-09 00:02:11,"Brown","Dropped",2019-01-09 00:02:03,0,NA,8,0
18664,"BrownDB",NA,2019-01-09 00:03:04,"Green","Consumed",2019-01-09 00:02:06,0,NA,58,1
18665,"GreenDB",NA,2019-01-09 00:02:28,"Green","Consumed",2019-01-09 00:02:02,0,NA,26,0
18666,"GreenDB",NA,2019-01-09 00:02:46,"Green","Dropped",2019-01-09 00:02:26,0,NA,20,0
18667,"BrownDB",NA,2019-01-09 00:02:29,"Green","Consumed",2019-01-09 00:02:20,0,NA,9,1
18668,"BrownDB",NA,2019-01-09 00:03:47,"Brown","Dropped",2019-01-09 00:02:21,0,NA,86,0
18670,"GreenDB",NA,2019-01-09 00:03:05,"Green","Dropped",2019-01-09 00:02:54,0,NA,11,0
18671,"BrownDB",NA,2019-01-09 00:46:22,"Brown","Dropped",2019-01-09 00:03:04,0,NA,2598,0
18672,"BrownDB",NA,2019-01-09 00:08:19,"Brown","Dropped",2019-01-09 00:02:58,0,NA,321,0
18673,"GreenDB",NA,2019-01-09 00:03:26,"Brown","Dropped",2019-01-09 00:03:02,0,NA,24,1
18674,"BrownDB",NA,2019-01-09 00:03:06,"Brown","Dropped",2019-01-09 00:03:00,0,NA,6,0
18675,"GreenDB",NA,2019-01-09 00:04:48,"Green","Consumed",2019-01-09 00:02:53,0,NA,115,0
18676,"BrownDB",NA,2019-01-09 00:02:48,"Green","Consumed",2019-01-09 00:02:42,0,NA,6,1
18677,"BrownDB",NA,2019-01-09 00:02:22,"Green","Consumed",2019-01-09 00:02:04,0,NA,18,1
18678,"GreenDB",NA,2019-01-09 00:02:47,"Brown","Consumed",2019-01-09 00:02:04,0,NA,43,1
18680,"GreenDB",NA,2019-01-09 00:02:24,"Green","Dropped",2019-01-09 00:02:12,0,NA,12,0
18681,"BrownDB",NA,2019-01-09 00:04:32,"Green","Consumed",2019-01-09 00:02:06,0,NA,146,1
18682,"BrownDB",NA,2019-01-09 00:02:37,"Green","Consumed",2019-01-09 00:02:32,0,NA,5,1
18683,"BrownDB",NA,2019-01-09 00:02:46,"Brown","Dropped",2019-01-09 00:02:30,0,NA,16,0
18684,"GreenDB",NA,2019-01-09 00:02:51,"Brown","Dropped",2019-01-09 00:02:05,0,NA,46,1
18685,"GreenDB",NA,2019-01-09 00:02:38,"Brown","Consumed",2019-01-09 00:02:24,0,NA,14,1
