"FID","SubGroupName","GroupName","AttackTime","ColorCode","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","AttackedColor","Fate","DropYN","DelayToAttack","AttackedPalatability","AttackedPalatabilityTreatment","PriorExposureYN","PriorExposure","PalatExpo","AttackNb","PrevPalatabality"
18585,"BrownDB"," NA",2019-03-22 00:51:19,1,-1,2019-03-22 00:02:29,0,NA,"Green","Rejected",1,2930,1,"Control",NA,NA,"ControlNA",1,NA
18586,"GreenDB"," NA",2019-03-22 00:27:23,2,-1,2019-03-22 00:02:30,0,NA,"Brown","Rejected",1,1493,1,"Control",NA,NA,"ControlNA",1,NA
18587,"BrownDB"," NA",2019-03-22 00:06:18,2,-1,2019-03-22 00:02:20,0,NA,"Brown","Rejected",1,238,0,"DB",NA,NA,"DBNA",1,NA
18588,"GreenDB"," NA",2019-03-22 00:36:26,2,-1,2019-03-22 00:03:27,0,NA,"Brown","Rejected",1,1979,1,"Control",NA,NA,"ControlNA",1,NA
18589,"BrownDB"," NA",2019-03-22 00:03:57,2,-1,2019-03-22 00:02:24,0,NA,"Brown","Rejected",1,93,0,"DB",NA,NA,"DBNA",1,NA
18590,"GreenDB"," NA",2019-03-22 00:02:18,2,1,2019-03-22 00:02:05,0,NA,"Brown","Consumed",0,13,1,"Control",NA,NA,"ControlNA",1,NA
18591,"BrownDB"," NA",2019-03-22 00:03:18,1,-1,2019-03-22 00:02:08,0,NA,"Green","Rejected",1,70,1,"Control",NA,NA,"ControlNA",1,NA
18593,"BrownDB"," NA",2019-03-22 00:02:44,1,1,2019-03-22 00:02:06,0,NA,"Green","Consumed",0,38,1,"Control",NA,NA,"ControlNA",1,NA
18595,"BrownDB"," NA",2019-03-22 00:21:03,1,-1,2019-03-22 00:00:07,0,NA,"Green","Rejected",1,1256,1,"Control",NA,NA,"ControlNA",1,NA
18596,"GreenDB"," NA",2019-03-22 00:03:00,1,1,2019-03-22 00:00:04,0,NA,"Green","Consumed",0,176,0,"DB",NA,NA,"DBNA",1,NA
18597,"BrownDB"," NA",2019-03-22 00:02:21,2,-1,2019-03-22 00:02:08,0,NA,"Brown","Rejected",1,13,0,"DB",NA,NA,"DBNA",1,NA
18598,"GreenDB"," NA",2019-03-22 00:08:47,1,1,2019-03-22 00:06:00,0,NA,"Green","Consumed",0,167,0,"DB",NA,NA,"DBNA",1,NA
18599,"GreenDB"," NA",2019-03-22 00:02:47,1,-1,2019-03-22 00:02:38,0,NA,"Green","Rejected",1,9,0,"DB",NA,NA,"DBNA",1,NA
18600,"BrownDB"," NA",2019-03-22 00:02:32,1,-1,2019-03-22 00:02:03,0,NA,"Green","Rejected",1,29,1,"Control",NA,NA,"ControlNA",1,NA
18605,"GreenDB"," NA",2019-03-22 00:07:34,2,1,2019-03-22 00:03:15,0,NA,"Brown","Consumed",0,259,1,"Control",NA,NA,"ControlNA",1,NA
18606,"BrownDB"," NA",2019-03-22 00:22:37,1,1,2019-03-22 00:02:38,0,NA,"Green","Consumed",0,1199,1,"Control",NA,NA,"ControlNA",1,NA
18607,"GreenDB"," NA",2019-03-22 00:03:24,1,-1,2019-03-22 00:03:13,0,NA,"Green","Rejected",1,11,0,"DB",NA,NA,"DBNA",1,NA
18608,"BrownDB"," NA",2019-03-22 00:03:50,1,1,2019-03-22 00:03:20,0,NA,"Green","Consumed",0,30,1,"Control",NA,NA,"ControlNA",1,NA
18609,"GreenDB"," NA",2019-03-22 00:04:19,1,-1,2019-03-22 00:03:23,0,NA,"Green","Rejected",1,56,0,"DB",NA,NA,"DBNA",1,NA
18610,"BrownDB"," NA",2019-03-22 00:02:23,1,-1,2019-03-22 00:02:04,0,NA,"Green","Rejected",1,19,1,"Control",NA,NA,"ControlNA",1,NA
18611,"GreenDB"," NA",2019-03-22 00:05:18,2,-1,2019-03-22 00:02:03,0,NA,"Brown","Rejected",1,195,1,"Control",NA,NA,"ControlNA",1,NA
18612,"GreenDB"," NA",2019-03-22 00:03:17,2,1,2019-03-22 00:02:00,0,NA,"Brown","Consumed",0,77,1,"Control",NA,NA,"ControlNA",1,NA
18613,"BrownDB"," NA",2019-03-22 01:25:50,1,1,2019-03-22 00:02:00,0,NA,"Green","Consumed",0,5030,1,"Control",NA,NA,"ControlNA",1,NA
18614,"BrownDB"," NA",2019-03-22 00:03:10,1,1,2019-03-22 00:02:04,0,NA,"Green","Consumed",0,66,1,"Control",NA,NA,"ControlNA",1,NA
18615,"BrownDB"," NA",2019-03-22 01:00:42,2,-1,2019-03-22 00:02:04,0,NA,"Brown","Rejected",1,3518,0,"DB",NA,NA,"DBNA",1,NA
18616,"GreenDB"," NA",2019-03-22 00:35:23,1,-1,2019-03-22 00:02:38,0,NA,"Green","Rejected",1,1965,0,"DB",NA,NA,"DBNA",1,NA
18618,"GreenDB"," NA",2019-03-22 00:02:28,1,-1,2019-03-22 00:02:07,0,NA,"Green","Rejected",1,21,0,"DB",NA,NA,"DBNA",1,NA
18619,"GreenDB"," NA",2019-03-22 00:10:47,1,-1,2019-03-22 00:03:10,0,NA,"Green","Rejected",1,457,0,"DB",NA,NA,"DBNA",1,NA
18621,"GreenDB"," NA",2019-03-22 00:03:52,2,1,2019-03-22 00:02:43,0,NA,"Brown","Consumed",0,69,1,"Control",NA,NA,"ControlNA",1,NA
18622,"BrownDB"," NA",2019-03-22 00:06:29,1,1,2019-03-22 00:02:24,0,NA,"Green","Consumed",0,245,1,"Control",NA,NA,"ControlNA",1,NA
