"FID","SubGroupName","GroupName","AttackTime","AttackedTermiteColor","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","DelayToAttack","DropYN","PriorExposureYN","AttackedTermitePalatability","AttackNb","PrevPalatabality"
18617,"BrownDB",NA,2019-03-21 00:05:06,"Green","Consumed",2019-03-21 00:02:43,0,NA,143,0,NA,1,1,NA
18620,"GreenDB",NA,2019-03-21 00:02:27,"Brown","Consumed",2019-03-21 00:02:19,0,NA,8,0,NA,1,1,NA
18623,"BrownDB",NA,2019-03-21 00:02:09,"Brown","Rejected",2019-03-21 00:01:39,0,NA,30,NA,NA,0,1,NA
18624,"BrownDB",NA,2019-03-21 00:02:36,"Green","Consumed",2019-03-21 00:02:19,0,NA,17,0,NA,1,1,NA
18625,"GreenDB",NA,2019-03-21 00:02:33,"Brown","Consumed",2019-03-21 00:02:09,0,NA,24,0,NA,1,1,NA
18626,"GreenDB",NA,2019-03-21 00:03:57,"Green","Rejected",2019-03-21 00:02:51,0,NA,66,NA,NA,0,1,NA
18627,"GreenDB",NA,2019-03-21 01:00:06,"Brown","Rejected",2019-03-21 00:02:21,0,NA,3465,NA,NA,1,1,NA
18628,"GreenDB",NA,2019-03-21 00:11:40,"Green","Rejected",2019-03-21 00:02:28,0,NA,552,NA,NA,0,1,NA
18629,"BrownDB",NA,2019-03-21 00:02:14,"Brown","Rejected",2019-03-21 00:02:10,0,NA,4,NA,NA,0,1,NA
18630,"BrownDB",NA,2019-03-21 00:02:37,"Green","Consumed",2019-03-21 00:02:12,0,NA,25,0,NA,1,1,NA
18631,"BrownDB",NA,2019-03-21 00:02:26,"Green","Consumed",2019-03-21 00:02:07,0,NA,19,0,NA,1,1,NA
18632,"BrownDB",NA,2019-03-21 00:06:46,"Green","Rejected",2019-03-21 00:02:11,0,NA,275,NA,NA,1,1,NA
18633,"GreenDB",NA,2019-03-21 00:03:32,"Brown","Consumed",2019-03-21 00:02:04,0,NA,88,0,NA,1,1,NA
18634,"GreenDB",NA,2019-03-21 00:02:36,"Green","Rejected",2019-03-21 00:02:06,0,NA,30,NA,NA,0,1,NA
18635,"GreenDB",NA,2019-03-21 00:00:09,"Green","Consumed",2019-03-21 00:00:04,0,NA,5,0,NA,0,1,NA
18636,"GreenDB",NA,2019-03-21 00:04:26,"Green","Rejected",2019-03-21 00:03:11,0,NA,75,NA,NA,0,1,NA
18637,"GreenDB",NA,2019-03-21 00:03:28,"Green","Rejected",2019-03-21 00:02:16,0,NA,72,NA,NA,0,1,NA
18638,"GreenDB",NA,2019-03-21 00:02:28,"Brown","Consumed",2019-03-21 00:02:13,0,NA,15,0,NA,1,1,NA
18639,"BrownDB",NA,2019-03-21 00:02:22,"Green","Consumed",2019-03-21 00:02:12,0,NA,10,0,NA,1,1,NA
18640,"BrownDB",NA,2019-03-21 00:02:57,"Brown","Consumed",2019-03-21 00:02:32,0,NA,25,0,NA,0,1,NA
18641,"BrownDB",NA,2019-03-21 00:02:42,"Green","Consumed",2019-03-21 00:02:06,0,NA,36,0,NA,1,1,NA
18643,"GreenDB",NA,2019-03-21 01:20:47,"Green","Rejected",2019-03-21 00:02:08,0,NA,4719,NA,NA,0,1,NA
18644,"GreenDB",NA,2019-03-21 00:03:44,"Green","Rejected",2019-03-21 00:02:04,0,NA,100,NA,NA,0,1,NA
18645,"GreenDB",NA,2019-03-21 00:03:08,"Green","Rejected",2019-03-21 00:02:03,0,NA,65,NA,NA,0,1,NA
18646,"GreenDB",NA,2019-03-21 00:02:39,"Brown","Consumed",2019-03-21 00:02:02,0,NA,37,0,NA,1,1,NA
18647,"BrownDB",NA,2019-03-21 00:02:30,"Brown","Rejected",2019-03-21 00:02:12,0,NA,18,NA,NA,0,1,NA
18648,"BrownDB",NA,2019-03-21 00:02:51,"Green","Consumed",2019-03-21 00:02:16,0,NA,35,0,NA,1,1,NA
18649,"BrownDB",NA,2019-03-21 00:06:25,"Brown","Consumed",2019-03-21 00:02:35,0,NA,230,0,NA,0,1,NA
18650,"BrownDB",NA,2019-03-21 00:02:36,"Brown","Rejected",2019-03-21 00:02:22,0,NA,14,NA,NA,0,1,NA
18679,"BrownDB",NA,2019-03-21 00:03:14,"Brown","Consumed",2019-03-21 00:03:07,0,NA,7,0,NA,0,1,NA
