"FID","SubGroupName","GroupName","AttackTime","AttackedTermiteColor","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","DelayToAttack","AttackedTermitePalatability"
18065,"GreenDB","Water",2019-02-19 00:02:43,"Green","Dropped",2019-02-19 00:02:33,0,NA,10,0
18070,"GreenDB","DB",2019-02-19 00:05:16,"Brown","Consumed",2019-02-19 00:03:20,0,NA,116,1
18073,"BrownDB","DB",2019-02-19 00:03:42,"Green","Consumed",2019-02-19 00:03:00,0,NA,42,1
18087,"BrownDB","Water",2019-02-19 00:02:51,"Green","Consumed",2019-02-19 00:02:31,0,NA,20,1
18089,"GreenDB","DB",2019-02-19 00:05:20,"Green","Dropped",2019-02-19 00:02:17,0,NA,183,0
18097,"BrownDB","DB",2019-02-19 00:02:30,"Brown","Dropped",2019-02-19 00:02:05,0,NA,25,0
18105,"GreenDB","Water",2019-02-19 00:04:38,"Green","Dropped",2019-02-19 00:02:05,0,NA,153,0
18109,"BrownDB","Water",2019-02-19 00:02:08,"Brown","Consumed",2019-02-19 00:02:05,0,NA,3,0
18114,"GreenDB","DB",2019-02-19 00:03:16,"Brown","Consumed",2019-02-19 00:02:10,0,NA,66,1
18117,"BrownDB","DB",2019-02-19 00:02:12,"Green","Consumed",2019-02-19 00:02:08,0,NA,4,1
18125,"GreenDB","Water",2019-02-19 00:02:12,"Green","Consumed",2019-02-19 00:02:05,0,NA,7,0
18128,"BrownDB","Water",2019-02-19 00:12:09,"Green","Consumed",2019-02-19 00:03:05,0,NA,544,1
18133,"GreenDB","DB",2019-02-19 00:05:34,"Green","Consumed",2019-02-19 00:02:43,0,NA,171,0
18136,"BrownDB","DB",2019-02-19 00:03:08,"Brown","Dropped",2019-02-19 00:02:34,0,NA,34,0
18138,"GreenDB","Water",2019-02-19 00:02:17,"Brown","Consumed",2019-02-19 00:02:08,0,NA,9,1
18143,"BrownDB","Water",2019-02-19 00:02:04,"Brown","Consumed",2019-02-19 00:02:02,0,NA,2,0
18145,"GreenDB","DB",2019-02-19 00:06:58,"Green","Dropped",2019-02-19 00:05:05,0,NA,113,0
18149,"BrownDB","DB",2019-02-19 00:04:57,"Green","Consumed",2019-02-19 00:04:37,0,NA,20,1
18157,"BrownDB","Water",2019-02-19 00:02:45,"Green","Consumed",2019-02-19 00:02:25,0,NA,20,1
18159,"GreenDB","Water",2019-02-19 00:04:39,"Green","Consumed",2019-02-19 00:04:30,0,NA,9,0
18161,"GreenDB","DB",2019-02-19 00:02:42,"Green","Dropped",2019-02-19 00:02:16,0,NA,26,0
18232,"BrownDB","DB",2019-02-19 00:14:40,"Brown","Dropped",2019-02-19 00:03:02,0,NA,698,0
18234,"GreenDB","Water",2019-02-19 00:03:24,"Green","Dropped",2019-02-19 00:02:52,0,NA,32,0
18254,"BrownDB","Water",2019-02-19 00:02:06,"Brown","Dropped",2019-02-19 00:02:02,0,NA,4,0
18280,"GreenDB","DB",2019-02-19 00:02:27,"Green","Consumed",2019-02-19 00:02:02,0,NA,25,0
18286,"BrownDB","DB",2019-02-19 00:02:09,"Green","Consumed",2019-02-19 00:01:48,0,NA,21,1
18288,"GreenDB","Water",2019-02-19 00:34:03,"Brown","Dropped",2019-02-19 00:02:25,0,NA,1898,1
18290,"BrownDB","Water",2019-02-19 00:02:19,"Green","Consumed",2019-02-19 00:02:16,0,NA,3,1
18306,"GreenDB","DB",2019-02-19 00:03:00,"Brown","Dropped",2019-02-19 00:02:48,0,NA,12,1
18327,"BrownDB","DB",2019-02-19 00:05:47,"Brown","Consumed",2019-02-19 00:02:41,0,NA,186,0
18329,"BrownDB","Water",2019-02-19 00:03:06,"Brown","Consumed",2019-02-19 00:02:57,0,NA,9,0
18331,"GreenDB","Water",2019-02-19 00:06:00,"Green","Dropped",2019-02-19 00:03:31,0,NA,149,0
18339,"GreenDB","DB",2019-02-19 00:02:51,"Green","Dropped",2019-02-19 00:02:42,0,NA,9,0
18341,"BrownDB","DB",2019-02-19 00:03:26,"Brown","Consumed",2019-02-19 00:02:43,0,NA,43,0
