"FID","SubGroupName","GroupName","AttackTime","ColorCode","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","AttackedColor","Fate","DropYN","DelayToAttack","AttackedPalatability","AttackedPalatabilityTreatment","PriorExposureYN","PriorExposure","PalatExpo","AttackNb","PrevPalatabality"
18585,"BrownMW",NA,2019-03-22 00:25:26,2,-1,2019-03-22 00:04:27,0,NA,"Brown","Rejected",1,1259,0,"DB",NA,NA,"DBNA",1,NA
18586,"GreenMW",NA,2019-03-22 00:42:12,1,-1,2019-03-22 00:03:41,0,NA,"Green","Rejected",1,2311,0,"DB",NA,NA,"DBNA",1,NA
18588,"BrownMW",NA,2019-03-22 00:08:25,1,-1,2019-03-22 00:03:26,0,NA,"Green","Rejected",1,299,1,"Control",NA,NA,"ControlNA",1,NA
18589,"GreenMW",NA,2019-03-22 00:03:05,2,1,2019-03-22 00:02:48,0,NA,"Brown","Consumed",0,17,1,"Control",NA,NA,"ControlNA",1,NA
18590,"BrownMW",NA,2019-03-22 00:49:52,2,-1,2019-03-22 00:04:27,0,NA,"Brown","Rejected",1,2725,0,"DB",NA,NA,"DBNA",1,NA
18591,"GreenMW",NA,2019-03-22 00:11:07,1,-1,2019-03-22 00:05:41,0,NA,"Green","Rejected",1,326,0,"DB",NA,NA,"DBNA",1,NA
18592,"BrownMW",NA,2019-03-22 00:05:35,1,1,2019-03-22 00:05:30,0,NA,"Green","Consumed",0,5,1,"Control",NA,NA,"ControlNA",1,NA
18595,"GreenMW",NA,2019-03-22 00:05:54,1,-1,2019-03-22 00:05:48,0,NA,"Green","Rejected",1,6,0,"DB",NA,NA,"DBNA",1,NA
18597,"BrownMW",NA,2019-03-22 00:14:47,2,-1,2019-03-22 00:03:00,0,NA,"Brown","Rejected",1,707,0,"DB",NA,NA,"DBNA",1,NA
18598,"GreenMW",NA,2019-03-22 00:10:42,2,1,2019-03-22 00:05:57,0,NA,"Brown","Consumed",0,285,1,"Control",NA,NA,"ControlNA",1,NA
18599,"BrownMW",NA,2019-03-22 00:53:59,2,-1,2019-03-22 00:02:08,0,NA,"Brown","Rejected",1,3111,0,"DB",NA,NA,"DBNA",1,NA
