"FID","Trt","AttackTime","AttackedBugColor","Outcome","VideoTimeStart","DelayToAttack","AttackedBugPalatability"
18585,"BrownMW",2019-03-21 00:25:26,"Brown","Dropped",2019-03-21 00:04:27,1259,0
18586,"GreenMW",2019-03-21 00:42:12,"Green","Dropped",2019-03-21 00:03:41,2311,0
18588,"BrownMW",2019-03-21 00:08:25,"Green","Dropped",2019-03-21 00:03:26,299,1
18589,"GreenMW",2019-03-21 00:03:05,"Brown","Consumed",2019-03-21 00:02:48,17,1
18590,"BrownMW",2019-03-21 00:49:52,"Brown","Dropped",2019-03-21 00:04:27,2725,0
18591,"GreenMW",2019-03-21 00:11:07,"Green","Dropped",2019-03-21 00:05:41,326,0
18592,"BrownMW",2019-03-21 00:05:35,"Green","Consumed",2019-03-21 00:05:30,5,1
18595,"GreenMW",2019-03-21 00:05:54,"Green","Dropped",2019-03-21 00:05:48,6,0
18597,"BrownMW",2019-03-21 00:14:47,"Brown","Dropped",2019-03-21 00:03:00,707,0
18598,"GreenMW",2019-03-21 00:10:42,"Brown","Consumed",2019-03-21 00:05:57,285,1
18599,"BrownMW",2019-03-21 00:53:59,"Brown","Dropped",2019-03-21 00:02:08,3111,0
18600,"GreenMW",2019-03-21 00:03:06,"Brown","Consumed",2019-03-21 00:02:05,61,1
18602,"BrownMW",2019-03-21 00:11:59,"Brown","Dropped",2019-03-21 00:02:15,584,0
18603,"GreenMW",2019-03-21 00:03:24,"Green","Dropped",2019-03-21 00:02:33,51,0
18605,"BrownMW",2019-03-21 00:39:27,"Brown","Dropped",2019-03-21 00:02:27,2220,0
18606,"GreenMW",2019-03-21 01:24:27,"Green","Dropped",2019-03-21 00:02:27,4920,0
18607,"BrownMW",2019-03-21 00:20:07,"Brown","Dropped",2019-03-21 00:02:17,1070,0
18608,"GreenMW",2019-03-21 00:09:13,"Green","Dropped",2019-03-21 00:07:43,90,0
18609,"BrownMW",2019-03-21 00:02:34,"Brown","Dropped",2019-03-21 00:02:20,14,0
18610,"GreenMW",2019-03-21 00:19:33,"Brown","Dropped",2019-03-21 00:08:34,659,1
18613,"BrownMW",2019-03-21 00:02:23,"Brown","Dropped",2019-03-21 00:02:21,2,0
18614,"GreenMW",2019-03-21 00:04:42,"Brown","Dropped",2019-03-21 00:03:00,102,1
18615,"BrownMW",2019-03-21 00:18:35,"Brown","Dropped",2019-03-21 00:02:32,963,0
18616,"GreenMW",2019-03-21 00:05:37,"Green","Dropped",2019-03-21 00:02:07,210,0
18618,"BrownMW",2019-03-21 00:05:27,"Green","Consumed",2019-03-21 00:02:11,196,1
18619,"GreenMW",2019-03-21 00:06:50,"Green","Dropped",2019-03-21 00:05:01,109,0
18620,"BrownMW",2019-03-21 00:19:21,"Brown","Dropped",2019-03-21 00:03:52,929,0
18621,"GreenMW",2019-03-21 00:02:10,"Brown","Dropped",2019-03-21 00:02:06,4,1
18622,"BrownMW",2019-03-21 00:05:04,"Brown","Dropped",2019-03-21 00:02:29,155,0
18623,"GreenMW",2019-03-21 00:02:49,"Brown","Dropped",2019-03-21 00:02:07,42,1
18624,"BrownMW",2019-03-21 00:09:57,"Brown","Dropped",2019-03-21 00:02:43,434,0
18625,"GreenMW",2019-03-21 00:04:22,"Green","Dropped",2019-03-21 00:02:57,85,0
18627,"BrownMW",2019-03-21 00:25:42,"Brown","Dropped",2019-03-21 00:02:31,1391,0
18628,"GreenMW",2019-03-21 00:03:17,"Brown","Consumed",2019-03-21 00:02:30,47,1
18629,"BrownMW",2019-03-21 01:04:34,"Brown","Dropped",2019-03-21 00:02:28,3726,0
18630,"GreenMW",2019-03-21 00:49:56,"Green","Dropped",2019-03-21 00:02:42,2834,0
18631,"BrownMW",2019-03-21 01:36:08,"Green","Consumed",2019-03-21 00:02:46,5602,1
18632,"GreenMW",2019-03-21 00:05:42,"Green","Dropped",2019-03-21 00:02:05,217,0
18633,"BrownMW",2019-03-21 00:02:35,"Green","Consumed",2019-03-21 00:02:34,1,1
18634,"GreenMW",2019-03-21 00:02:23,"Brown","Dropped",2019-03-21 00:02:16,7,1
