"FID","SubGroupName","GroupName","AttackTime","AttackedTermiteColor","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","DropYN","DelayToAttack"
18303,NA,NA,2019-02-19 00:03:19,"Green","Consumed",2019-02-19 00:02:07,0,NA,0,72
18307,NA,NA,2019-02-19 00:03:09,"Green","Dropped",2019-02-19 00:02:07,0,NA,1,62
18326,NA,NA,2019-02-19 00:02:13,"Brown","Consumed",2019-02-19 00:02:05,0,NA,0,8
18336,NA,NA,2019-02-19 00:02:23,"Brown","Consumed",2019-02-19 00:02:06,0,NA,0,17
18340,NA,NA,2019-02-19 00:02:44,"Green","Consumed",2019-02-19 00:02:10,0,NA,0,34
18342,NA,NA,2019-02-19 00:02:11,"Green","Consumed",2019-02-19 00:02:06,0,NA,0,5
18353,NA,NA,2019-02-19 00:02:51,"Green","Consumed",2019-02-19 00:02:04,0,NA,0,47
18355,NA,NA,2019-02-19 00:04:00,"Green","Consumed",2019-02-19 00:02:06,0,NA,0,114
18401,NA,NA,2019-02-19 00:02:28,"Brown","Consumed",2019-02-19 00:02:15,0,NA,0,13
18411,NA,NA,2019-02-19 00:02:45,"Brown","Consumed",2019-02-19 00:02:13,0,NA,0,32
18446,NA,NA,2019-02-19 00:02:48,"Green","Consumed",2019-02-19 00:02:08,0,NA,0,40
18454,NA,NA,2019-02-19 00:06:50,"Brown","Dropped",2019-02-19 00:02:01,0,NA,1,289
18472,NA,NA,2019-02-19 00:58:47,"Green","Consumed",2019-02-19 00:02:37,0,NA,0,3370
18475,NA,NA,2019-02-19 00:12:34,"Green","Consumed",2019-02-19 00:02:21,0,NA,0,613
18476,NA,NA,2019-02-19 00:02:21,"Green","Consumed",2019-02-19 00:02:11,0,NA,0,10
18478,NA,NA,2019-02-19 00:38:30,"Green","Consumed",2019-02-19 00:02:10,0,NA,0,2180
18491,NA,NA,2019-02-19 00:03:20,"Green","Consumed",2019-02-19 00:02:34,0,NA,0,46
18495,NA,NA,2019-02-19 00:04:47,"Green","Consumed",2019-02-19 00:03:19,0,NA,0,88
18503,NA,NA,2019-02-19 00:17:51,"Green","Consumed",2019-02-19 00:03:10,0,NA,0,881
18506,NA,NA,2019-02-19 00:02:20,"Green","Consumed",2019-02-19 00:02:05,0,NA,0,15
18508,NA,NA,2019-02-19 00:02:43,"Brown","Consumed",2019-02-19 00:02:29,0,NA,0,14
18516,NA,NA,2019-02-19 00:02:09,"Brown","Consumed",2019-02-19 00:02:06,0,NA,0,3
18532,NA,NA,2019-02-19 00:19:44,"Green","Consumed",2019-02-19 00:02:13,0,NA,0,1051
18539,NA,NA,2019-02-19 00:03:36,"Brown","Dropped",2019-02-19 00:02:08,0,NA,1,88
18544,NA,NA,2019-02-19 00:02:18,"Green","Consumed",2019-02-19 00:02:14,0,NA,0,4
18549,NA,NA,2019-02-19 00:03:30,"Brown","Consumed",2019-02-19 00:02:11,0,NA,0,79
18551,NA,NA,2019-02-19 00:02:13,"Brown","Consumed",2019-02-19 00:02:03,0,NA,0,10
18553,NA,NA,2019-02-19 00:26:25,"Brown","Consumed",2019-02-19 00:02:09,0,NA,0,1456
18560,NA,NA,2019-02-19 00:03:08,"Brown","Consumed",2019-02-19 00:02:03,0,NA,0,65
18576,NA,NA,2019-02-19 00:05:09,"Brown","Consumed",2019-02-19 00:02:05,0,NA,0,184
