"FID","GroupName","SubGroupName","FocalColor","FocalColorCode","AttackedColor","FocalAttackedYN","FocalPalatability","FocalPalatabilityTreatment","PriorExposureYN","PriorExposure","PalatExpo"
18585,"DB","GreenDB","Brown",2,"Green",0,1,"Control",1,"Trained","ControlTrained"
18585,"DB","GreenDB","Green",1,"Green",1,0,"DB",1,"Trained","DBTrained"
18586,"Water","GreenDB","Brown",2,"Green",0,1,"Control",0,"Naive","ControlNaive"
18586,"Water","GreenDB","Green",1,"Green",1,0,"DB",0,"Naive","DBNaive"
18587,"DB","BrownDB","Brown",2,"Green",0,0,"DB",1,"Trained","DBTrained"
18587,"DB","BrownDB","Green",1,"Green",1,1,"Control",1,"Trained","ControlTrained"
18588,"Water","BrownDB","Brown",2,"Brown",1,0,"DB",0,"Naive","DBNaive"
18588,"Water","BrownDB","Green",1,"Brown",0,1,"Control",0,"Naive","ControlNaive"
18589,"DB","GreenDB","Brown",2,"Green",0,1,"Control",1,"Trained","ControlTrained"
18589,"DB","GreenDB","Green",1,"Green",1,0,"DB",1,"Trained","DBTrained"
18590,"Water","GreenDB","Brown",2,"Brown",1,1,"Control",0,"Naive","ControlNaive"
18590,"Water","GreenDB","Green",1,"Brown",0,0,"DB",0,"Naive","DBNaive"
18591,"DB","BrownDB","Brown",2,"Brown",1,0,"DB",1,"Trained","DBTrained"
18591,"DB","BrownDB","Green",1,"Brown",0,1,"Control",1,"Trained","ControlTrained"
18592,"Water","BrownDB","Brown",2,"Green",0,0,"DB",0,"Naive","DBNaive"
18592,"Water","BrownDB","Green",1,"Green",1,1,"Control",0,"Naive","ControlNaive"
18593,"DB","GreenDB","Brown",2,"Green",0,1,"Control",1,"Trained","ControlTrained"
18593,"DB","GreenDB","Green",1,"Green",1,0,"DB",1,"Trained","DBTrained"
18594,"Water","GreenDB","Brown",2,"Green",0,1,"Control",0,"Naive","ControlNaive"
18594,"Water","GreenDB","Green",1,"Green",1,0,"DB",0,"Naive","DBNaive"
18595,"DB","BrownDB","Brown",2,"Green",0,0,"DB",1,"Trained","DBTrained"
18595,"DB","BrownDB","Green",1,"Green",1,1,"Control",1,"Trained","ControlTrained"
18596,"Water","BrownDB","Brown",2,"Brown",1,0,"DB",0,"Naive","DBNaive"
18596,"Water","BrownDB","Green",1,"Brown",0,1,"Control",0,"Naive","ControlNaive"
18597,"DB","GreenDB","Brown",2,"Green",0,1,"Control",1,"Trained","ControlTrained"
18597,"DB","GreenDB","Green",1,"Green",1,0,"DB",1,"Trained","DBTrained"
18598,"Water","GreenDB","Brown",2,"Green",0,1,"Control",0,"Naive","ControlNaive"
18598,"Water","GreenDB","Green",1,"Green",1,0,"DB",0,"Naive","DBNaive"
18599,"DB","BrownDB","Brown",2,"Green",0,0,"DB",1,"Trained","DBTrained"
18599,"DB","BrownDB","Green",1,"Green",1,1,"Control",1,"Trained","ControlTrained"
18600,"Water","BrownDB","Brown",2,"Brown",1,0,"DB",0,"Naive","DBNaive"
18600,"Water","BrownDB","Green",1,"Brown",0,1,"Control",0,"Naive","ControlNaive"
18601,"DB","GreenDB","Brown",2,"Green",0,1,"Control",1,"Trained","ControlTrained"
18601,"DB","GreenDB","Green",1,"Green",1,0,"DB",1,"Trained","DBTrained"
18602,"Water","GreenDB","Brown",2,"Brown",1,1,"Control",0,"Naive","ControlNaive"
18602,"Water","GreenDB","Green",1,"Brown",0,0,"DB",0,"Naive","DBNaive"
18603,"DB","BrownDB","Brown",2,"Brown",1,0,"DB",1,"Trained","DBTrained"
18603,"DB","BrownDB","Green",1,"Brown",0,1,"Control",1,"Trained","ControlTrained"
18605,"DB","GreenDB","Brown",2,"Brown",1,1,"Control",1,"Trained","ControlTrained"
18605,"DB","GreenDB","Green",1,"Brown",0,0,"DB",1,"Trained","DBTrained"
18606,"Water","GreenDB","Brown",2,"Brown",1,1,"Control",0,"Naive","ControlNaive"
18606,"Water","GreenDB","Green",1,"Brown",0,0,"DB",0,"Naive","DBNaive"
18607,"DB","BrownDB","Brown",2,"Brown",1,0,"DB",1,"Trained","DBTrained"
18607,"DB","BrownDB","Green",1,"Brown",0,1,"Control",1,"Trained","ControlTrained"
18608,"Water","BrownDB","Brown",2,"Brown",1,0,"DB",0,"Naive","DBNaive"
18608,"Water","BrownDB","Green",1,"Brown",0,1,"Control",0,"Naive","ControlNaive"
18609,"DB","GreenDB","Brown",2,"Brown",1,1,"Control",1,"Trained","ControlTrained"
18609,"DB","GreenDB","Green",1,"Brown",0,0,"DB",1,"Trained","DBTrained"
18610,"Water","GreenDB","Brown",2,"Brown",1,1,"Control",0,"Naive","ControlNaive"
18610,"Water","GreenDB","Green",1,"Brown",0,0,"DB",0,"Naive","DBNaive"
18611,"DB","BrownDB","Brown",2,"Brown",1,0,"DB",1,"Trained","DBTrained"
18611,"DB","BrownDB","Green",1,"Brown",0,1,"Control",1,"Trained","ControlTrained"
18612,"Water","BrownDB","Brown",2,"Green",0,0,"DB",0,"Naive","DBNaive"
18612,"Water","BrownDB","Green",1,"Green",1,1,"Control",0,"Naive","ControlNaive"
18613,"DB","GreenDB","Brown",2,"Brown",1,1,"Control",1,"Trained","ControlTrained"
18613,"DB","GreenDB","Green",1,"Brown",0,0,"DB",1,"Trained","DBTrained"
18614,"Water","GreenDB","Brown",2,"Green",0,1,"Control",0,"Naive","ControlNaive"
18614,"Water","GreenDB","Green",1,"Green",1,0,"DB",0,"Naive","DBNaive"
18615,"DB","BrownDB","Brown",2,"Brown",1,0,"DB",1,"Trained","DBTrained"
18615,"DB","BrownDB","Green",1,"Brown",0,1,"Control",1,"Trained","ControlTrained"
18616,"Water","BrownDB","Brown",2,"Green",0,0,"DB",0,"Naive","DBNaive"
18616,"Water","BrownDB","Green",1,"Green",1,1,"Control",0,"Naive","ControlNaive"
18617,"DB","GreenDB","Brown",2,"Brown",1,1,"Control",1,"Trained","ControlTrained"
18617,"DB","GreenDB","Green",1,"Brown",0,0,"DB",1,"Trained","DBTrained"
18618,"Water","GreenDB","Brown",2,"Brown",1,1,"Control",0,"Naive","ControlNaive"
18618,"Water","GreenDB","Green",1,"Brown",0,0,"DB",0,"Naive","DBNaive"
18619,"DB","BrownDB","Brown",2,"Green",0,0,"DB",1,"Trained","DBTrained"
18619,"DB","BrownDB","Green",1,"Green",1,1,"Control",1,"Trained","ControlTrained"
18620,"Water","BrownDB","Brown",2,"Brown",1,0,"DB",0,"Naive","DBNaive"
18620,"Water","BrownDB","Green",1,"Brown",0,1,"Control",0,"Naive","ControlNaive"
18621,"DB","GreenDB","Brown",2,"Green",0,1,"Control",1,"Trained","ControlTrained"
18621,"DB","GreenDB","Green",1,"Green",1,0,"DB",1,"Trained","DBTrained"
18622,"Water","GreenDB","Brown",2,"Green",0,1,"Control",0,"Naive","ControlNaive"
18622,"Water","GreenDB","Green",1,"Green",1,0,"DB",0,"Naive","DBNaive"
18623,"DB","BrownDB","Brown",2,"Green",0,0,"DB",1,"Trained","DBTrained"
18623,"DB","BrownDB","Green",1,"Green",1,1,"Control",1,"Trained","ControlTrained"
18624,"Water","BrownDB","Brown",2,"Brown",1,0,"DB",0,"Naive","DBNaive"
18624,"Water","BrownDB","Green",1,"Brown",0,1,"Control",0,"Naive","ControlNaive"
18625,"DB","GreenDB","Brown",2,"Green",0,1,"Control",1,"Trained","ControlTrained"
