"FID","GroupName","SubGroupName","FocalTermiteColor","AttackedColor","FocalTermiteAttackedYN","FocalPalatability","FocalPalatabilityTreatment","PriorExposureYN","PriorExposure","PalatExpo"
18651,NA,"BrownDB","Brown","Green",0,0,"DB",NA,NA,"NA"
18651,NA,"BrownDB","Green","Green",1,1,"Control",NA,NA,"NA"
18652,NA,"BrownDB","Brown","Green",0,0,"DB",NA,NA,"NA"
18652,NA,"BrownDB","Green","Green",1,1,"Control",NA,NA,"NA"
18654,NA,"GreenDB","Brown","Brown",1,1,"Control",NA,NA,"NA"
18654,NA,"GreenDB","Green","Brown",0,0,"DB",NA,NA,"NA"
18655,NA,"BrownDB","Brown","Brown",1,0,"DB",NA,NA,"NA"
18655,NA,"BrownDB","Green","Brown",0,1,"Control",NA,NA,"NA"
18656,NA,"BrownDB","Brown","Green",0,0,"DB",NA,NA,"NA"
18656,NA,"BrownDB","Green","Green",1,1,"Control",NA,NA,"NA"
18658,NA,"GreenDB","Brown","Brown",1,1,"Control",NA,NA,"NA"
18658,NA,"GreenDB","Green","Brown",0,0,"DB",NA,NA,"NA"
18659,NA,"BrownDB","Brown","Brown",1,0,"DB",NA,NA,"NA"
18659,NA,"BrownDB","Green","Brown",0,1,"Control",NA,NA,"NA"
18661,NA,"GreenDB","Brown","Green",0,1,"Control",NA,NA,"NA"
18661,NA,"GreenDB","Green","Green",1,0,"DB",NA,NA,"NA"
18662,NA,"GreenDB","Brown","Brown",1,1,"Control",NA,NA,"NA"
18662,NA,"GreenDB","Green","Brown",0,0,"DB",NA,NA,"NA"
18663,NA,"BrownDB","Brown","Brown",1,0,"DB",NA,NA,"NA"
18663,NA,"BrownDB","Green","Brown",0,1,"Control",NA,NA,"NA"
18664,NA,"BrownDB","Brown","Green",0,0,"DB",NA,NA,"NA"
18664,NA,"BrownDB","Green","Green",1,1,"Control",NA,NA,"NA"
18665,NA,"GreenDB","Brown","Green",0,1,"Control",NA,NA,"NA"
18665,NA,"GreenDB","Green","Green",1,0,"DB",NA,NA,"NA"
18666,NA,"GreenDB","Brown","Green",0,1,"Control",NA,NA,"NA"
18666,NA,"GreenDB","Green","Green",1,0,"DB",NA,NA,"NA"
18667,NA,"BrownDB","Brown","Green",0,0,"DB",NA,NA,"NA"
18667,NA,"BrownDB","Green","Green",1,1,"Control",NA,NA,"NA"
18668,NA,"BrownDB","Brown","Brown",1,0,"DB",NA,NA,"NA"
18668,NA,"BrownDB","Green","Brown",0,1,"Control",NA,NA,"NA"
18670,NA,"GreenDB","Brown","Green",0,1,"Control",NA,NA,"NA"
18670,NA,"GreenDB","Green","Green",1,0,"DB",NA,NA,"NA"
18671,NA,"BrownDB","Brown","Brown",1,0,"DB",NA,NA,"NA"
18671,NA,"BrownDB","Green","Brown",0,1,"Control",NA,NA,"NA"
18672,NA,"BrownDB","Brown","Brown",1,0,"DB",NA,NA,"NA"
18672,NA,"BrownDB","Green","Brown",0,1,"Control",NA,NA,"NA"
18673,NA,"GreenDB","Brown","Brown",1,1,"Control",NA,NA,"NA"
18673,NA,"GreenDB","Green","Brown",0,0,"DB",NA,NA,"NA"
18674,NA,"BrownDB","Brown","Brown",1,0,"DB",NA,NA,"NA"
18674,NA,"BrownDB","Green","Brown",0,1,"Control",NA,NA,"NA"
18675,NA,"GreenDB","Brown","Green",0,1,"Control",NA,NA,"NA"
18675,NA,"GreenDB","Green","Green",1,0,"DB",NA,NA,"NA"
18676,NA,"BrownDB","Brown","Green",0,0,"DB",NA,NA,"NA"
18676,NA,"BrownDB","Green","Green",1,1,"Control",NA,NA,"NA"
18677,NA,"BrownDB","Brown","Green",0,0,"DB",NA,NA,"NA"
18677,NA,"BrownDB","Green","Green",1,1,"Control",NA,NA,"NA"
18678,NA,"GreenDB","Brown","Brown",1,1,"Control",NA,NA,"NA"
18678,NA,"GreenDB","Green","Brown",0,0,"DB",NA,NA,"NA"
18680,NA,"GreenDB","Brown","Green",0,1,"Control",NA,NA,"NA"
18680,NA,"GreenDB","Green","Green",1,0,"DB",NA,NA,"NA"
18681,NA,"BrownDB","Brown","Green",0,0,"DB",NA,NA,"NA"
18681,NA,"BrownDB","Green","Green",1,1,"Control",NA,NA,"NA"
18682,NA,"BrownDB","Brown","Green",0,0,"DB",NA,NA,"NA"
18682,NA,"BrownDB","Green","Green",1,1,"Control",NA,NA,"NA"
18683,NA,"BrownDB","Brown","Brown",1,0,"DB",NA,NA,"NA"
18683,NA,"BrownDB","Green","Brown",0,1,"Control",NA,NA,"NA"
18684,NA,"GreenDB","Brown","Brown",1,1,"Control",NA,NA,"NA"
18684,NA,"GreenDB","Green","Brown",0,0,"DB",NA,NA,"NA"
18685,NA,"GreenDB","Brown","Brown",1,1,"Control",NA,NA,"NA"
18685,NA,"GreenDB","Green","Brown",0,0,"DB",NA,NA,"NA"
