"FID","GroupName","SubGroupName","FocalTermiteColor","AttackedColor","FocalTermiteAttackedYN","FocalPalatability","FocalPalatabilityTreatment","PriorExposureYN","PriorExposure"
18585," NA","BrownDB","Brown","Green",0,0,"DB",NA,NA
18585," NA","BrownDB","Green","Green",1,1,"Control",NA,NA
18586," NA","GreenDB","Brown","Brown",1,1,"Control",NA,NA
18586," NA","GreenDB","Green","Brown",0,0,"DB",NA,NA
18587," NA","BrownDB","Brown","Brown",1,0,"DB",NA,NA
18587," NA","BrownDB","Green","Brown",0,1,"Control",NA,NA
18588," NA","GreenDB","Brown","Brown",1,1,"Control",NA,NA
18588," NA","GreenDB","Green","Brown",0,0,"DB",NA,NA
18589," NA","BrownDB","Brown","Brown",1,0,"DB",NA,NA
18589," NA","BrownDB","Green","Brown",0,1,"Control",NA,NA
18590," NA","GreenDB","Brown","Brown",1,1,"Control",NA,NA
18590," NA","GreenDB","Green","Brown",0,0,"DB",NA,NA
18591," NA","BrownDB","Brown","Green",0,0,"DB",NA,NA
18591," NA","BrownDB","Green","Green",1,1,"Control",NA,NA
18593," NA","BrownDB","Brown","Green",0,0,"DB",NA,NA
18593," NA","BrownDB","Green","Green",1,1,"Control",NA,NA
18595," NA","BrownDB","Brown","Green",0,0,"DB",NA,NA
18595," NA","BrownDB","Green","Green",1,1,"Control",NA,NA
18596," NA","GreenDB","Brown","Green",0,1,"Control",NA,NA
18596," NA","GreenDB","Green","Green",1,0,"DB",NA,NA
18597," NA","BrownDB","Brown","Brown",1,0,"DB",NA,NA
18597," NA","BrownDB","Green","Brown",0,1,"Control",NA,NA
18598," NA","GreenDB","Brown","Green",0,1,"Control",NA,NA
18598," NA","GreenDB","Green","Green",1,0,"DB",NA,NA
18599," NA","GreenDB","Brown","Green",0,1,"Control",NA,NA
18599," NA","GreenDB","Green","Green",1,0,"DB",NA,NA
18600," NA","BrownDB","Brown","Green",0,0,"DB",NA,NA
18600," NA","BrownDB","Green","Green",1,1,"Control",NA,NA
18605," NA","GreenDB","Brown","Brown",1,1,"Control",NA,NA
18605," NA","GreenDB","Green","Brown",0,0,"DB",NA,NA
18606," NA","BrownDB","Brown","Green",0,0,"DB",NA,NA
18606," NA","BrownDB","Green","Green",1,1,"Control",NA,NA
18607," NA","GreenDB","Brown","Green",0,1,"Control",NA,NA
18607," NA","GreenDB","Green","Green",1,0,"DB",NA,NA
18608," NA","BrownDB","Brown","Green",0,0,"DB",NA,NA
18608," NA","BrownDB","Green","Green",1,1,"Control",NA,NA
18609," NA","GreenDB","Brown","Green",0,1,"Control",NA,NA
18609," NA","GreenDB","Green","Green",1,0,"DB",NA,NA
18610," NA","BrownDB","Brown","Green",0,0,"DB",NA,NA
18610," NA","BrownDB","Green","Green",1,1,"Control",NA,NA
18611," NA","GreenDB","Brown","Brown",1,1,"Control",NA,NA
18611," NA","GreenDB","Green","Brown",0,0,"DB",NA,NA
18612," NA","GreenDB","Brown","Brown",1,1,"Control",NA,NA
18612," NA","GreenDB","Green","Brown",0,0,"DB",NA,NA
18613," NA","BrownDB","Brown","Green",0,0,"DB",NA,NA
18613," NA","BrownDB","Green","Green",1,1,"Control",NA,NA
18614," NA","BrownDB","Brown","Green",0,0,"DB",NA,NA
18614," NA","BrownDB","Green","Green",1,1,"Control",NA,NA
18615," NA","BrownDB","Brown","Brown",1,0,"DB",NA,NA
18615," NA","BrownDB","Green","Brown",0,1,"Control",NA,NA
18616," NA","GreenDB","Brown","Green",0,1,"Control",NA,NA
18616," NA","GreenDB","Green","Green",1,0,"DB",NA,NA
18618," NA","GreenDB","Brown","Green",0,1,"Control",NA,NA
18618," NA","GreenDB","Green","Green",1,0,"DB",NA,NA
18619," NA","GreenDB","Brown","Green",0,1,"Control",NA,NA
18619," NA","GreenDB","Green","Green",1,0,"DB",NA,NA
18621," NA","GreenDB","Brown","Brown",1,1,"Control",NA,NA
18621," NA","GreenDB","Green","Brown",0,0,"DB",NA,NA
18622," NA","BrownDB","Brown","Green",0,0,"DB",NA,NA
18622," NA","BrownDB","Green","Green",1,1,"Control",NA,NA
