"FID","GroupName","SubGroupName","FocalColor","FocalColorCode","AttackedColor","FocalAttackedYN","FocalPalatability","FocalPalatabilityTreatment","PriorExposureYN","PriorExposure","PalatExpo"
18065,"Water","GreenDB","Brown",2,"Green",0,1,"Control",0,"Naive","ControlNaive"
18065,"Water","GreenDB","Green",1,"Green",1,0,"DB",0,"Naive","DBNaive"
18070,"DB","GreenDB","Brown",2,"Brown",1,1,"Control",1,"Trained","ControlTrained"
18070,"DB","GreenDB","Green",1,"Brown",0,0,"DB",1,"Trained","DBTrained"
18073,"DB","BrownDB","Brown",2,"Green",0,0,"DB",1,"Trained","DBTrained"
18073,"DB","BrownDB","Green",1,"Green",1,1,"Control",1,"Trained","ControlTrained"
18087,"Water","BrownDB","Brown",2,"Green",0,0,"DB",0,"Naive","DBNaive"
18087,"Water","BrownDB","Green",1,"Green",1,1,"Control",0,"Naive","ControlNaive"
18089,"DB","GreenDB","Brown",2,"Green",0,1,"Control",1,"Trained","ControlTrained"
18089,"DB","GreenDB","Green",1,"Green",1,0,"DB",1,"Trained","DBTrained"
18097,"DB","BrownDB","Brown",2,"Brown",1,0,"DB",1,"Trained","DBTrained"
18097,"DB","BrownDB","Green",1,"Brown",0,1,"Control",1,"Trained","ControlTrained"
18105,"Water","GreenDB","Brown",2,"Green",0,1,"Control",0,"Naive","ControlNaive"
18105,"Water","GreenDB","Green",1,"Green",1,0,"DB",0,"Naive","DBNaive"
18109,"Water","BrownDB","Brown",2,"Brown",1,0,"DB",0,"Naive","DBNaive"
18109,"Water","BrownDB","Green",1,"Brown",0,1,"Control",0,"Naive","ControlNaive"
18114,"DB","GreenDB","Brown",2,"Brown",1,1,"Control",1,"Trained","ControlTrained"
18114,"DB","GreenDB","Green",1,"Brown",0,0,"DB",1,"Trained","DBTrained"
18117,"DB","BrownDB","Brown",2,"Green",0,0,"DB",1,"Trained","DBTrained"
18117,"DB","BrownDB","Green",1,"Green",1,1,"Control",1,"Trained","ControlTrained"
18125,"Water","GreenDB","Brown",2,"Green",0,1,"Control",0,"Naive","ControlNaive"
18125,"Water","GreenDB","Green",1,"Green",1,0,"DB",0,"Naive","DBNaive"
18128,"Water","BrownDB","Brown",2,"Green",0,0,"DB",0,"Naive","DBNaive"
18128,"Water","BrownDB","Green",1,"Green",1,1,"Control",0,"Naive","ControlNaive"
18133,"DB","GreenDB","Brown",2,"Green",0,1,"Control",1,"Trained","ControlTrained"
18133,"DB","GreenDB","Green",1,"Green",1,0,"DB",1,"Trained","DBTrained"
18136,"DB","BrownDB","Brown",2,"Brown",1,0,"DB",1,"Trained","DBTrained"
18136,"DB","BrownDB","Green",1,"Brown",0,1,"Control",1,"Trained","ControlTrained"
18138,"Water","GreenDB","Brown",2,"Brown",1,1,"Control",0,"Naive","ControlNaive"
18138,"Water","GreenDB","Green",1,"Brown",0,0,"DB",0,"Naive","DBNaive"
18143,"Water","BrownDB","Brown",2,"Brown",1,0,"DB",0,"Naive","DBNaive"
18143,"Water","BrownDB","Green",1,"Brown",0,1,"Control",0,"Naive","ControlNaive"
18145,"DB","GreenDB","Brown",2,"Green",0,1,"Control",1,"Trained","ControlTrained"
18145,"DB","GreenDB","Green",1,"Green",1,0,"DB",1,"Trained","DBTrained"
18149,"DB","BrownDB","Brown",2,"Green",0,0,"DB",1,"Trained","DBTrained"
18149,"DB","BrownDB","Green",1,"Green",1,1,"Control",1,"Trained","ControlTrained"
18157,"Water","BrownDB","Brown",2,"Green",0,0,"DB",0,"Naive","DBNaive"
18157,"Water","BrownDB","Green",1,"Green",1,1,"Control",0,"Naive","ControlNaive"
