"FID","GroupName","SubGroupName","FocalColor","FocalColorCode","AttackedColor","FocalAttackedYN","FocalPalatability","FocalPalatabilityTreatment","PriorExposureYN","PriorExposure","PalatExpo"
18585,NA,"BrownMW","Brown",2,"Brown",1,0,"Milkweed",NA,NA,"MilkweedNA"
18585,NA,"BrownMW","Green",1,"Brown",0,1,"Sunflower",NA,NA,"SunflowerNA"
18586,NA,"GreenMW","Brown",2,"Green",0,1,"Sunflower",NA,NA,"SunflowerNA"
18586,NA,"GreenMW","Green",1,"Green",1,0,"Milkweed",NA,NA,"MilkweedNA"
18588,NA,"BrownMW","Brown",2,"Green",0,0,"Milkweed",NA,NA,"MilkweedNA"
18588,NA,"BrownMW","Green",1,"Green",1,1,"Sunflower",NA,NA,"SunflowerNA"
18589,NA,"GreenMW","Brown",2,"Brown",1,1,"Sunflower",NA,NA,"SunflowerNA"
18589,NA,"GreenMW","Green",1,"Brown",0,0,"Milkweed",NA,NA,"MilkweedNA"
18590,NA,"BrownMW","Brown",2,"Brown",1,0,"Milkweed",NA,NA,"MilkweedNA"
18590,NA,"BrownMW","Green",1,"Brown",0,1,"Sunflower",NA,NA,"SunflowerNA"
18591,NA,"GreenMW","Brown",2,"Green",0,1,"Sunflower",NA,NA,"SunflowerNA"
18591,NA,"GreenMW","Green",1,"Green",1,0,"Milkweed",NA,NA,"MilkweedNA"
18592,NA,"BrownMW","Brown",2,"Green",0,0,"Milkweed",NA,NA,"MilkweedNA"
18592,NA,"BrownMW","Green",1,"Green",1,1,"Sunflower",NA,NA,"SunflowerNA"
18595,NA,"GreenMW","Brown",2,"Green",0,1,"Sunflower",NA,NA,"SunflowerNA"
18595,NA,"GreenMW","Green",1,"Green",1,0,"Milkweed",NA,NA,"MilkweedNA"
18597,NA,"BrownMW","Brown",2,"Brown",1,0,"Milkweed",NA,NA,"MilkweedNA"
18597,NA,"BrownMW","Green",1,"Brown",0,1,"Sunflower",NA,NA,"SunflowerNA"
18598,NA,"GreenMW","Brown",2,"Brown",1,1,"Sunflower",NA,NA,"SunflowerNA"
18598,NA,"GreenMW","Green",1,"Brown",0,0,"Milkweed",NA,NA,"MilkweedNA"
18599,NA,"BrownMW","Brown",2,"Brown",1,0,"Milkweed",NA,NA,"MilkweedNA"
18599,NA,"BrownMW","Green",1,"Brown",0,1,"Sunflower",NA,NA,"SunflowerNA"
18600,NA,"GreenMW","Brown",2,"Brown",1,1,"Sunflower",NA,NA,"SunflowerNA"
18600,NA,"GreenMW","Green",1,"Brown",0,0,"Milkweed",NA,NA,"MilkweedNA"
18602,NA,"BrownMW","Brown",2,"Brown",1,0,"Milkweed",NA,NA,"MilkweedNA"
18602,NA,"BrownMW","Green",1,"Brown",0,1,"Sunflower",NA,NA,"SunflowerNA"
18603,NA,"GreenMW","Brown",2,"Green",0,1,"Sunflower",NA,NA,"SunflowerNA"
18603,NA,"GreenMW","Green",1,"Green",1,0,"Milkweed",NA,NA,"MilkweedNA"
18605,NA,"BrownMW","Brown",2,"Brown",1,0,"Milkweed",NA,NA,"MilkweedNA"
18605,NA,"BrownMW","Green",1,"Brown",0,1,"Sunflower",NA,NA,"SunflowerNA"
