"FID","GroupName","SubGroupName","FocalTermiteColor","FocalTermiteYN","AttackedTermiteColor","FocalTermiteAttackedYN","FocalTermitePalatability","PriorExposureYN"
18585,"DB","GreenDB","Green",1,"Green",1,0,1
18586,"Water","GreenDB","Green",1,"Green",1,0,0
18587,"DB","BrownDB","Brown",1,"Green",0,0,1
18588,"Water","BrownDB","Green",1,"Brown",0,1,0
18589,"DB","GreenDB","Green",1,"Green",1,0,1
18590,"Water","GreenDB","Brown",1,"Brown",1,1,0
18591,"DB","BrownDB","Brown",1,"Brown",1,0,1
18592,"Water","BrownDB","Green",1,"Green",1,1,0
18593,"DB","GreenDB","Brown",1,"Green",0,1,1
18594,"Water","GreenDB","Green",1,"Green",1,0,0
18595,"DB","BrownDB","Green",1,"Green",1,1,1
18596,"Water","BrownDB","Brown",1,"Brown",1,0,0
18597,"DB","GreenDB","Brown",1,"Green",0,1,1
18598,"Water","GreenDB","Green",1,"Green",1,0,0
18599,"DB","BrownDB","Green",1,"Green",1,1,1
18600,"Water","BrownDB","Brown",1,"Brown",1,0,0
18601,"DB","GreenDB","Green",1,"Green",1,0,1
18602,"Water","GreenDB","Brown",1,"Brown",1,1,0
18603,"DB","BrownDB","Green",1,"Brown",0,1,1
18605,"DB","GreenDB","Brown",1,"Brown",1,1,1
18606,"Water","GreenDB","Brown",1,"Brown",1,1,0
18607,"DB","BrownDB","Brown",1,"Brown",1,0,1
18608,"Water","BrownDB","Green",1,"Brown",0,1,0
18609,"DB","GreenDB","Brown",1,"Brown",1,1,1
18610,"Water","GreenDB","Green",1,"Brown",0,0,0
18611,"DB","BrownDB","Brown",1,"Brown",1,0,1
18612,"Water","BrownDB","Brown",1,"Green",0,0,0
18613,"DB","GreenDB","Brown",1,"Brown",1,1,1
18614,"Water","GreenDB","Green",1,"Green",1,0,0
18615,"DB","BrownDB","Green",1,"Brown",0,1,1
18616,"Water","BrownDB","Green",1,"Green",1,1,0
18617,"DB","GreenDB","Green",1,"Brown",0,0,1
18618,"Water","GreenDB","Brown",1,"Brown",1,1,0
18619,"DB","BrownDB","Green",1,"Green",1,1,1
18620,"Water","BrownDB","Brown",1,"Brown",1,0,0
18621,"DB","GreenDB","Brown",1,"Green",0,1,1
18622,"Water","GreenDB","Green",1,"Green",1,0,0
18623,"DB","BrownDB","Brown",1,"Green",0,0,1
18624,"Water","BrownDB","Brown",1,"Brown",1,0,0
18625,"DB","GreenDB","Brown",1,"Green",0,1,1
18626,"Water","GreenDB","Brown",1,"Brown",1,1,0
18627,"DB","BrownDB","Brown",1,"Brown",1,0,1
18628,"Water","BrownDB","Brown",1,"Green",0,0,0
18629,"DB","GreenDB","Brown",1,"Brown",1,1,1
18631,"DB","BrownDB","Green",1,"Green",1,1,1
18633,"DB","GreenDB","Brown",1,"Green",0,1,1
18634,"Water","GreenDB","Green",1,"Green",1,0,0
18635,"DB","BrownDB","Green",1,"Brown",0,1,1
18636,"Water","BrownDB","Brown",1,"Brown",1,0,0
18637,"DB","GreenDB","Brown",1,"Green",0,1,1
18638,"Water","GreenDB","Green",1,"Brown",0,0,0
18639,"DB","BrownDB","Green",1,"Green",1,1,1
18640,"Water","BrownDB","Green",1,"Green",1,1,0
18641,"DB","GreenDB","Green",1,"Green",1,0,1
18642,"Water","GreenDB","Green",1,"Green",1,0,0
18643,"DB","BrownDB","Brown",1,"Green",0,0,1
18644,"Water","BrownDB","Green",1,"Green",1,1,0
18645,"DB","GreenDB","Brown",1,"Green",0,1,1
18646,"Water","GreenDB","Green",1,"Green",1,0,0
18647,"DB","BrownDB","Green",1,"Brown",0,1,1
18648,"Water","BrownDB","Brown",1,"Green",0,0,0
18649,"DB","GreenDB","Green",1,"Brown",0,0,1
18651,"DB","BrownDB","Brown",1,"Green",0,0,1
18652,"Water","BrownDB","Green",1,"Green",1,1,0
18653,"DB","GreenDB","Brown",1,"Brown",1,1,1
18654,"Water","GreenDB","Brown",1,"Green",0,1,0
18655,"DB","BrownDB","Brown",1,"Brown",1,0,1
18656,"Water","BrownDB","Green",1,"Green",1,1,0
18657,"DB","GreenDB","Green",1,"Brown",0,0,1
18658,"Water","GreenDB","Green",1,"Green",1,0,0
18659,"DB","BrownDB","Brown",1,"Brown",1,0,1
18660,"Water","BrownDB","Green",1,"Green",1,1,0
18661,"DB","GreenDB","Green",1,"Brown",0,0,1
