"FID","SubGroupName","GroupName","AttackTime","AttackedTermiteColor","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","DelayToAttack","DropYN","AttackedTermitePalatability"
18585,"GreenDB","DB",2018-10-31 00:02:11,"Brown","Consumed",2018-10-31 00:02:03,0,NA,8,0,1
18586,"GreenDB","Water",2018-10-31 00:07:37,"Brown","Consumed",2018-10-31 00:02:26,0,NA,311,0,1
18587,"BrownDB","DB",2018-10-31 00:03:43,"Brown","Consumed",2018-10-31 00:02:19,0,NA,84,0,0
18588,"BrownDB","Water",2018-10-31 00:02:36,"Green","Dropped",2018-10-31 00:02:23,0,NA,13,1,1
18588,"BrownDB","Water",2018-10-31 00:06:37,"Brown","Consumed",2018-10-31 00:02:23,0,NA,254,0,0
18589,"GreenDB","DB",2018-10-31 00:17:58,"Brown","Dropped",2018-10-31 00:03:34,0,NA,864,1,1
18589,"GreenDB","DB",2018-10-31 00:21:59,"Green","Consumed",2018-10-31 00:03:34,0,NA,1105,0,0
18590,"GreenDB","Water",2018-10-31 00:02:46,"Green","Consumed",2018-10-31 00:02:21,0,NA,25,0,0
18591,"BrownDB","DB",2018-10-31 00:03:12,"Green","Consumed",2018-10-31 00:02:30,0,NA,42,0,1
18592,"BrownDB","Water",2018-10-31 00:03:22,"Brown","Consumed",2018-10-31 00:02:38,0,NA,44,0,0
18593,"GreenDB","DB",2018-10-31 00:04:34,"Brown","Dropped",2018-10-31 00:03:13,0,NA,81,1,1
18593,"GreenDB","DB",2018-10-31 00:08:39,"Green","Consumed",2018-10-31 00:03:13,0,NA,326,0,0
18594,"GreenDB","Water",2018-10-31 00:03:12,"Brown","Dropped",2018-10-31 00:01:59,0,NA,73,1,1
18594,"GreenDB","Water",2018-10-31 00:51:21,"Brown","Dropped",2018-10-31 00:01:59,0,NA,2962,1,1
18594,"GreenDB","Water",2018-10-31 00:51:55,"Green","Consumed",2018-10-31 00:01:59,0,NA,2996,0,0
18595,"BrownDB","DB",2018-10-31 00:04:28,"Brown","Consumed",2018-10-31 00:03:16,0,NA,72,0,0
18596,"BrownDB","Water",2018-10-31 01:44:56,"Green","Dropped",2018-10-31 00:03:22,0,NA,6094,1,1
18597,"GreenDB","DB",2018-10-31 00:05:09,"Brown","Consumed",2018-10-31 00:03:28,0,NA,101,0,1
18598,"GreenDB","Water",2018-10-31 00:05:13,"Brown","Consumed",2018-10-31 00:04:07,0,NA,66,0,1
18599,"BrownDB","DB",2018-10-31 00:03:32,"Brown","Dropped",2018-10-31 00:03:07,0,NA,25,1,0
18599,"BrownDB","DB",2018-10-31 00:03:38,"Green","Consumed",2018-10-31 00:03:07,0,NA,31,0,1
18600,"BrownDB","Water",2018-10-31 00:06:29,"Green","Dropped",2018-10-31 00:03:32,0,NA,177,1,1
18600,"BrownDB","Water",2018-10-31 00:07:29,"Green","Dropped",2018-10-31 00:03:32,0,NA,237,1,1
18600,"BrownDB","Water",2018-10-31 00:09:03,"Brown","Dropped",2018-10-31 00:03:32,0,NA,331,1,1
18600,"BrownDB","Water",2018-10-31 00:09:07,"Brown","Dropped",2018-10-31 00:03:32,0,NA,335,1,0
18600,"BrownDB","Water",2018-10-31 00:09:31,"Green","Dropped",2018-10-31 00:03:32,0,NA,359,1,1
18600,"BrownDB","Water",2018-10-31 00:13:57,"Green","Consumed",2018-10-31 00:03:32,0,NA,625,0,1
18601,"GreenDB","DB",2018-10-31 00:04:05,"Brown","Dropped",2018-10-31 00:03:51,0,NA,14,1,1
18601,"GreenDB","DB",2018-10-31 01:11:14,"Brown","Dropped",2018-10-31 00:03:51,0,NA,4043,1,1
18601,"GreenDB","DB",2018-10-31 01:57:25,"Brown","Dropped",2018-10-31 00:03:51,0,NA,6814,1,1
18602,"GreenDB","Water",2018-10-31 00:02:15,"Green","Consumed",2018-10-31 00:02:04,0,NA,11,0,0
18603,"BrownDB","DB",2018-10-31 00:03:08,"Green","Dropped",2018-10-31 00:02:47,0,NA,21,1,1
18603,"BrownDB","DB",2018-10-31 00:13:18,"Green","Consumed",2018-10-31 00:02:47,0,NA,631,0,1
18605,"GreenDB","DB",2018-10-31 00:02:42,"Green","Consumed",2018-10-31 00:02:32,0,NA,10,0,0
18606,"GreenDB","Water",2018-10-31 00:13:14,"Green","Consumed",2018-10-31 00:02:41,0,NA,633,0,0
18607,"BrownDB","DB",2018-10-31 00:04:23,"Green","Consumed",2018-10-31 00:04:17,0,NA,6,0,1
18608,"BrownDB","Water",2018-10-31 00:04:36,"Green","Consumed",2018-10-31 00:04:29,0,NA,7,0,1
18608,"BrownDB","Water",2018-10-31 00:05:53,"Green","Consumed",2018-10-31 00:04:29,0,NA,84,0,1
18609,"GreenDB","DB",2018-10-31 00:02:25,"Green","Consumed",2018-10-31 00:02:05,0,NA,20,0,0
18610,"GreenDB","Water",2018-10-31 00:04:58,"Green","Consumed",2018-10-31 00:02:54,0,NA,124,0,0
18611,"BrownDB","DB",2018-10-31 00:03:17,"Green","Consumed",2018-10-31 00:02:33,0,NA,44,0,1
18612,"BrownDB","Water",2018-10-31 00:02:54,"Brown","Consumed",2018-10-31 00:02:46,0,NA,8,0,1
18613,"GreenDB","DB",2018-10-31 00:03:26,"Green","Consumed",2018-10-31 00:02:51,0,NA,35,0,0
18614,"GreenDB","Water",2018-10-31 00:06:07,"Brown","Dropped",2018-10-31 00:04:27,0,NA,100,1,1
18614,"GreenDB","Water",2018-10-31 00:08:22,"Green","Consumed",2018-10-31 00:04:27,0,NA,235,0,0
18615,"BrownDB","DB",2018-10-31 00:04:44,"Green","Consumed",2018-10-31 00:04:35,0,NA,9,0,1
18616,"BrownDB","Water",2018-10-31 00:08:27,"Brown","Consumed",2018-10-31 00:05:13,0,NA,194,0,1
18617,"GreenDB","DB",2018-10-31 00:39:15,"Green","Dropped",2018-10-31 00:02:21,0,NA,2214,1,0
18617,"GreenDB","DB",2018-10-31 00:39:20,"Green","Consumed",2018-10-31 00:02:21,0,NA,2219,0,0
18618,"GreenDB","Water",2018-10-31 00:02:58,"Green","Dropped",2018-10-31 00:02:49,0,NA,9,1,0
18618,"GreenDB","Water",2018-10-31 00:03:07,"Green","Consumed",2018-10-31 00:02:49,0,NA,18,0,0
18619,"BrownDB","DB",2018-10-31 01:40:41,"Brown","Dropped",2018-10-31 00:07:22,0,NA,5599,1,1
18620,"BrownDB","Water",2018-10-31 00:02:20,"Green","Consumed",2018-10-31 00:02:20,0,NA,0,0,1
18621,"GreenDB","DB",2018-10-31 00:03:24,"Brown","Dropped",2018-10-31 00:03:14,0,NA,10,1,1
18621,"GreenDB","DB",2018-10-31 00:05:52,"Green","Consumed",2018-10-31 00:03:14,0,NA,158,0,0
18622,"GreenDB","Water",2018-10-31 00:03:06,"Brown","Dropped",2018-10-31 00:02:58,0,NA,8,1,1
