"FID","SubGroupName","GroupName","AttackTime","AttackedTermiteColor","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","DelayToAttack","AttackedTermitePalatability"
18585,"BrownDB"," NA",2018-11-21 00:51:19,"Green","Dropped",2018-11-21 00:02:29,0,NA,2930,1
18586,"GreenDB"," NA",2018-11-21 00:27:23,"Brown","Dropped",2018-11-21 00:02:30,0,NA,1493,1
18587,"BrownDB"," NA",2018-11-21 00:06:18,"Brown","Dropped",2018-11-21 00:02:20,0,NA,238,0
18588,"GreenDB"," NA",2018-11-21 00:36:26,"Brown","Dropped",2018-11-21 00:03:27,0,NA,1979,1
18589,"BrownDB"," NA",2018-11-21 00:03:57,"Brown","Dropped",2018-11-21 00:02:24,0,NA,93,0
18590,"GreenDB"," NA",2018-11-21 00:02:18,"Brown","Consumed",2018-11-21 00:02:05,0,NA,13,1
18591,"BrownDB"," NA",2018-11-21 00:03:18,"Green","Dropped",2018-11-21 00:02:08,0,NA,70,1
18593,"BrownDB"," NA",2018-11-21 00:02:44,"Green","Consumed",2018-11-21 00:02:06,0,NA,38,1
18595,"BrownDB"," NA",2018-11-21 00:21:03,"Green","Dropped",2018-11-21 00:00:07,0,NA,1256,1
18596,"GreenDB"," NA",2018-11-21 00:03:00,"Green","Consumed",2018-11-21 00:00:04,0,NA,176,0
18597,"BrownDB"," NA",2018-11-21 00:02:21,"Brown","Dropped",2018-11-21 00:02:08,0,NA,13,0
18598,"GreenDB"," NA",2018-11-21 00:08:47,"Green","Consumed",2018-11-21 00:06:00,0,NA,167,0
18599,"GreenDB"," NA",2018-11-21 00:02:47,"Green","Dropped",2018-11-21 00:02:38,0,NA,9,0
18600,"BrownDB"," NA",2018-11-21 00:02:32,"Green","Dropped",2018-11-21 00:02:03,0,NA,29,1
18605,"GreenDB"," NA",2018-11-21 00:07:34,"Brown","Consumed",2018-11-21 00:03:15,0,NA,259,1
18606,"BrownDB"," NA",2018-11-21 00:22:37,"Green","Consumed",2018-11-21 00:02:38,0,NA,1199,1
18607,"GreenDB"," NA",2018-11-21 00:03:24,"Green","Dropped",2018-11-21 00:03:13,0,NA,11,0
18608,"BrownDB"," NA",2018-11-21 00:03:50,"Green","Consumed",2018-11-21 00:03:20,0,NA,30,1
18609,"GreenDB"," NA",2018-11-21 00:04:19,"Green","Dropped",2018-11-21 00:03:23,0,NA,56,0
18610,"BrownDB"," NA",2018-11-21 00:02:23,"Green","Dropped",2018-11-21 00:02:04,0,NA,19,1
18611,"GreenDB"," NA",2018-11-21 00:05:18,"Brown","Dropped",2018-11-21 00:02:03,0,NA,195,1
18612,"GreenDB"," NA",2018-11-21 00:03:17,"Brown","Consumed",2018-11-21 00:02:00,0,NA,77,1
18613,"BrownDB"," NA",2018-11-21 01:25:50,"Green","Consumed",2018-11-21 00:02:00,0,NA,5030,1
18614,"BrownDB"," NA",2018-11-21 00:03:10,"Green","Consumed",2018-11-21 00:02:04,0,NA,66,1
18615,"BrownDB"," NA",2018-11-21 01:00:42,"Brown","Dropped",2018-11-21 00:02:04,0,NA,3518,0
18616,"GreenDB"," NA",2018-11-21 00:35:23,"Green","Dropped",2018-11-21 00:02:38,0,NA,1965,0
18618,"GreenDB"," NA",2018-11-21 00:02:28,"Green","Dropped",2018-11-21 00:02:07,0,NA,21,0
18619,"GreenDB"," NA",2018-11-21 00:10:47,"Green","Dropped",2018-11-21 00:03:10,0,NA,457,0
18621,"GreenDB"," NA",2018-11-21 00:03:52,"Brown","Consumed",2018-11-21 00:02:43,0,NA,69,1
18622,"BrownDB"," NA",2018-11-21 00:06:29,"Green","Consumed",2018-11-21 00:02:24,0,NA,245,1
