"FID","SubGroupName","GroupName","AttackTime","AttackedTermiteColor","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","DelayToAttack","AttackedTermitePalatability"
18617,"BrownDB",NA,2018-11-27 00:05:06,"Green","Consumed",2018-11-27 00:02:43,0,NA,143,1
18620,"GreenDB",NA,2018-11-27 00:02:27,"Brown","Consumed",2018-11-27 00:02:19,0,NA,8,1
18623,"BrownDB",NA,2018-11-27 00:02:09,"Brown","Dropped",2018-11-27 00:01:39,0,NA,30,0
18624,"BrownDB",NA,2018-11-27 00:02:36,"Green","Consumed",2018-11-27 00:02:19,0,NA,17,1
18625,"GreenDB",NA,2018-11-27 00:02:33,"Brown","Consumed",2018-11-27 00:02:09,0,NA,24,1
18626,"GreenDB",NA,2018-11-27 00:03:57,"Green","Dropped",2018-11-27 00:02:51,0,NA,66,0
18627,"GreenDB",NA,2018-11-27 01:00:06,"Brown","Dropped",2018-11-27 00:02:21,0,NA,3465,1
18628,"GreenDB",NA,2018-11-27 00:11:40,"Green","Dropped",2018-11-27 00:02:28,0,NA,552,0
18629,"BrownDB",NA,2018-11-27 00:02:14,"Brown","Dropped",2018-11-27 00:02:10,0,NA,4,0
18630,"BrownDB",NA,2018-11-27 00:02:37,"Green","Consumed",2018-11-27 00:02:12,0,NA,25,1
18631,"BrownDB",NA,2018-11-27 00:02:26,"Green","Consumed",2018-11-27 00:02:07,0,NA,19,1
18632,"BrownDB",NA,2018-11-27 00:06:46,"Green","Dropped",2018-11-27 00:02:11,0,NA,275,1
18633,"GreenDB",NA,2018-11-27 00:03:32,"Brown","Consumed",2018-11-27 00:02:04,0,NA,88,1
18634,"GreenDB",NA,2018-11-27 00:02:36,"Green","Dropped",2018-11-27 00:02:06,0,NA,30,0
18635,"GreenDB",NA,2018-11-27 00:00:09,"Green","Consumed",2018-11-27 00:00:04,0,NA,5,0
18636,"GreenDB",NA,2018-11-27 00:04:26,"Green","Dropped",2018-11-27 00:03:11,0,NA,75,0
18637,"GreenDB",NA,2018-11-27 00:03:28,"Green","Dropped",2018-11-27 00:02:16,0,NA,72,0
18638,"GreenDB",NA,2018-11-27 00:02:28,"Brown","Consumed",2018-11-27 00:02:13,0,NA,15,1
18639,"BrownDB",NA,2018-11-27 00:02:22,"Green","Consumed",2018-11-27 00:02:12,0,NA,10,1
18640,"BrownDB",NA,2018-11-27 00:02:57,"Brown","Consumed",2018-11-27 00:02:32,0,NA,25,0
18641,"BrownDB",NA,2018-11-27 00:02:42,"Green","Consumed",2018-11-27 00:02:06,0,NA,36,1
18643,"GreenDB",NA,2018-11-27 01:20:47,"Green","Dropped",2018-11-27 00:02:08,0,NA,4719,0
18644,"GreenDB",NA,2018-11-27 00:03:44,"Green","Dropped",2018-11-27 00:02:04,0,NA,100,0
18645,"GreenDB",NA,2018-11-27 00:03:08,"Green","Dropped",2018-11-27 00:02:03,0,NA,65,0
18646,"GreenDB",NA,2018-11-27 00:02:39,"Brown","Consumed",2018-11-27 00:02:02,0,NA,37,1
18647,"BrownDB",NA,2018-11-27 00:02:30,"Brown","Dropped",2018-11-27 00:02:12,0,NA,18,0
18648,"BrownDB",NA,2018-11-27 00:02:51,"Green","Consumed",2018-11-27 00:02:16,0,NA,35,1
18649,"BrownDB",NA,2018-11-27 00:06:25,"Brown","Consumed",2018-11-27 00:02:35,0,NA,230,0
18650,"BrownDB",NA,2018-11-27 00:02:36,"Brown","Dropped",2018-11-27 00:02:22,0,NA,14,0
18679,"BrownDB",NA,2018-11-27 00:03:14,"Brown","Consumed",2018-11-27 00:03:07,0,NA,7,0
