"FID","GroupName","SubGroupName","FocalTermiteColor","FocalTermiteYN","AttackedTermiteColor","FocalTermiteAttackedYN","FocalTermitePalatability","PriorExposureYN"
18585,"DB","GreenDB","Brown",1,"Brown",1,1,1
18585,"DB","GreenDB","Green",0,"Brown",0,0,1
18586,"Water","GreenDB","Brown",0,"Brown",1,1,0
18586,"Water","GreenDB","Green",1,"Brown",0,0,0
18587,"DB","BrownDB","Brown",1,"Brown",1,0,1
18587,"DB","BrownDB","Green",0,"Brown",0,1,1
18588,"Water","BrownDB","Brown",0,"Green",0,0,0
18588,"Water","BrownDB","Green",1,"Green",1,1,0
18589,"DB","GreenDB","Brown",0,"Brown",1,1,1
18589,"DB","GreenDB","Green",1,"Brown",0,0,1
18590,"Water","GreenDB","Brown",0,"Green",0,1,0
18590,"Water","GreenDB","Green",1,"Green",1,0,0
18591,"DB","BrownDB","Brown",1,"Green",0,0,1
18591,"DB","BrownDB","Green",0,"Green",1,1,1
18592,"Water","BrownDB","Brown",0,"Brown",1,0,0
18592,"Water","BrownDB","Green",1,"Brown",0,1,0
18593,"DB","GreenDB","Brown",1,"Brown",1,1,1
18593,"DB","GreenDB","Green",0,"Brown",0,0,1
18594,"Water","GreenDB","Brown",0,"Brown",1,1,0
18594,"Water","GreenDB","Green",1,"Brown",0,0,0
18595,"DB","BrownDB","Brown",1,"Brown",1,0,1
18595,"DB","BrownDB","Green",0,"Brown",0,1,1
18596,"Water","BrownDB","Brown",0,"Green",0,0,0
18596,"Water","BrownDB","Green",1,"Green",1,1,0
18597,"DB","GreenDB","Brown",0,"Brown",1,1,1
18597,"DB","GreenDB","Green",1,"Brown",0,0,1
18598,"Water","GreenDB","Brown",0,"Brown",1,1,0
18598,"Water","GreenDB","Green",1,"Brown",0,0,0
18599,"DB","BrownDB","Brown",0,"Brown",1,0,1
18599,"DB","BrownDB","Green",1,"Brown",0,1,1
18600,"Water","BrownDB","Brown",0,"Green",0,0,0
18600,"Water","BrownDB","Green",1,"Green",1,1,0
18601,"DB","GreenDB","Brown",0,"Brown",1,1,1
18601,"DB","GreenDB","Green",1,"Brown",0,0,1
18602,"Water","GreenDB","Brown",1,"Green",0,1,0
18602,"Water","GreenDB","Green",0,"Green",1,0,0
18603,"DB","BrownDB","Brown",1,"Green",0,0,1
18603,"DB","BrownDB","Green",0,"Green",1,1,1
18605,"DB","GreenDB","Brown",0,"Green",0,1,1
18605,"DB","GreenDB","Green",1,"Green",1,0,1
18606,"Water","GreenDB","Brown",0,"Green",0,1,0
18606,"Water","GreenDB","Green",1,"Green",1,0,0
18607,"DB","BrownDB","Brown",0,"Green",0,0,1
18607,"DB","BrownDB","Green",1,"Green",1,1,1
18608,"Water","BrownDB","Brown",1,"Green",0,0,0
18608,"Water","BrownDB","Green",0,"Green",1,1,0
18609,"DB","GreenDB","Brown",1,"Green",0,1,1
18609,"DB","GreenDB","Green",0,"Green",1,0,1
18610,"Water","GreenDB","Brown",1,"Green",0,1,0
18610,"Water","GreenDB","Green",0,"Green",1,0,0
18611,"DB","BrownDB","Brown",1,"Green",0,0,1
18611,"DB","BrownDB","Green",0,"Green",1,1,1
18612,"Water","BrownDB","Brown",1,"Brown",1,0,0
18612,"Water","BrownDB","Green",0,"Brown",0,1,0
18613,"DB","GreenDB","Brown",1,"Green",0,1,1
18613,"DB","GreenDB","Green",0,"Green",1,0,1
18614,"Water","GreenDB","Brown",0,"Brown",1,1,0
18614,"Water","GreenDB","Green",1,"Brown",0,0,0
18615,"DB","BrownDB","Brown",1,"Green",0,0,1
18615,"DB","BrownDB","Green",0,"Green",1,1,1
18616,"Water","BrownDB","Brown",1,"Brown",1,0,0
18616,"Water","BrownDB","Green",0,"Brown",0,1,0
18617,"DB","GreenDB","Brown",1,"Green",0,1,1
18617,"DB","GreenDB","Green",0,"Green",1,0,1
18618,"Water","GreenDB","Brown",0,"Green",0,1,0
18618,"Water","GreenDB","Green",1,"Green",1,0,0
18619,"DB","BrownDB","Brown",0,"Brown",1,0,1
18619,"DB","BrownDB","Green",1,"Brown",0,1,1
18620,"Water","BrownDB","Brown",0,"Green",0,0,0
18620,"Water","BrownDB","Green",1,"Green",1,1,0
18621,"DB","GreenDB","Brown",0,"Brown",1,1,1
18621,"DB","GreenDB","Green",1,"Brown",0,0,1
18622,"Water","GreenDB","Brown",0,"Brown",1,1,0
18622,"Water","GreenDB","Green",1,"Brown",0,0,0
18623,"DB","BrownDB","Brown",0,"Brown",1,0,1
18623,"DB","BrownDB","Green",1,"Brown",0,1,1
18624,"Water","BrownDB","Brown",0,"Green",0,0,0
18624,"Water","BrownDB","Green",1,"Green",1,1,0
18625,"DB","GreenDB","Brown",0,"Brown",1,1,1
18625,"DB","GreenDB","Green",1,"Brown",0,0,1
18626,"Water","GreenDB","Brown",0,"Green",0,1,0
18626,"Water","GreenDB","Green",1,"Green",1,0,0
18627,"DB","BrownDB","Brown",0,"Green",0,0,1
18627,"DB","BrownDB","Green",1,"Green",1,1,1
18628,"Water","BrownDB","Brown",1,"Brown",1,0,0
18628,"Water","BrownDB","Green",0,"Brown",0,1,0
18629,"DB","GreenDB","Brown",0,"Green",0,1,1
18629,"DB","GreenDB","Green",1,"Green",1,0,1
18631,"DB","BrownDB","Brown",1,"Brown",1,0,1
18631,"DB","BrownDB","Green",0,"Brown",0,1,1
18633,"DB","GreenDB","Brown",1,"Brown",1,1,1
18633,"DB","GreenDB","Green",0,"Brown",0,0,1
18634,"Water","GreenDB","Brown",1,"Brown",1,1,0
18634,"Water","GreenDB","Green",0,"Brown",0,0,0
18635,"DB","BrownDB","Brown",0,"Green",0,0,1
18635,"DB","BrownDB","Green",1,"Green",1,1,1
18636,"Water","BrownDB","Brown",0,"Green",0,0,0
18636,"Water","BrownDB","Green",1,"Green",1,1,0
18637,"DB","GreenDB","Brown",1,"Brown",1,1,1
18637,"DB","GreenDB","Green",0,"Brown",0,0,1
18638,"Water","GreenDB","Brown",0,"Green",0,1,0
18638,"Water","GreenDB","Green",1,"Green",1,0,0
18639,"DB","BrownDB","Brown",1,"Brown",1,0,1
18639,"DB","BrownDB","Green",0,"Brown",0,1,1
18640,"Water","BrownDB","Brown",0,"Brown",1,0,0
18640,"Water","BrownDB","Green",1,"Brown",0,1,0
18641,"DB","GreenDB","Brown",0,"Brown",1,1,1
18641,"DB","GreenDB","Green",1,"Brown",0,0,1
18642,"Water","GreenDB","Brown",0,"Brown",1,1,0
18642,"Water","GreenDB","Green",1,"Brown",0,0,0
18643,"DB","BrownDB","Brown",1,"Brown",1,0,1
18643,"DB","BrownDB","Green",0,"Brown",0,1,1
18644,"Water","BrownDB","Brown",0,"Brown",1,0,0
18644,"Water","BrownDB","Green",1,"Brown",0,1,0
18645,"DB","GreenDB","Brown",0,"Brown",1,1,1
18645,"DB","GreenDB","Green",1,"Brown",0,0,1
18646,"Water","GreenDB","Brown",1,"Brown",1,1,0
18646,"Water","GreenDB","Green",0,"Brown",0,0,0
18647,"DB","BrownDB","Brown",1,"Green",0,0,1
18647,"DB","BrownDB","Green",0,"Green",1,1,1
18648,"Water","BrownDB","Brown",0,"Brown",1,0,0
18648,"Water","BrownDB","Green",1,"Brown",0,1,0
18649,"DB","GreenDB","Brown",0,"Green",0,1,1
18649,"DB","GreenDB","Green",1,"Green",1,0,1
18651,"DB","BrownDB","Brown",0,"Brown",1,0,1
18651,"DB","BrownDB","Green",1,"Brown",0,1,1
18652,"Water","BrownDB","Brown",1,"Brown",1,0,0
18652,"Water","BrownDB","Green",0,"Brown",0,1,0
18653,"DB","GreenDB","Brown",1,"Green",0,1,1
18653,"DB","GreenDB","Green",0,"Green",1,0,1
18654,"Water","GreenDB","Brown",1,"Brown",1,1,0
18654,"Water","GreenDB","Green",0,"Brown",0,0,0
18655,"DB","BrownDB","Brown",1,"Green",0,0,1
18655,"DB","BrownDB","Green",0,"Green",1,1,1
18656,"Water","BrownDB","Brown",0,"Brown",1,0,0
18656,"Water","BrownDB","Green",1,"Brown",0,1,0
18657,"DB","GreenDB","Brown",1,"Green",0,1,1
18657,"DB","GreenDB","Green",0,"Green",1,0,1
18658,"Water","GreenDB","Brown",1,"Brown",1,1,0
18658,"Water","GreenDB","Green",0,"Brown",0,0,0
18659,"DB","BrownDB","Brown",0,"Green",0,0,1
18659,"DB","BrownDB","Green",1,"Green",1,1,1
18660,"Water","BrownDB","Brown",1,"Brown",1,0,0
18660,"Water","BrownDB","Green",0,"Brown",0,1,0
18661,"DB","GreenDB","Brown",1,"Green",0,1,1
18661,"DB","GreenDB","Green",0,"Green",1,0,1
18662,"Water","GreenDB","Brown",0,"Green",0,1,0
18662,"Water","GreenDB","Green",1,"Green",1,0,0
18663,"DB","BrownDB","Brown",1,"Green",0,0,1
18663,"DB","BrownDB","Green",0,"Green",1,1,1
18664,"Water","BrownDB","Brown",0,"Brown",1,0,0
18664,"Water","BrownDB","Green",1,"Brown",0,1,0
18665,"DB","GreenDB","Brown",1,"Brown",1,1,1
18665,"DB","GreenDB","Green",0,"Brown",0,0,1
18666,"Water","GreenDB","Brown",1,"Brown",1,1,0
18666,"Water","GreenDB","Green",0,"Brown",0,0,0
18667,"DB","BrownDB","Brown",1,"Green",0,0,1
18667,"DB","BrownDB","Green",0,"Green",1,1,1
18668,"Water","BrownDB","Brown",1,"Green",0,0,0
18668,"Water","BrownDB","Green",0,"Green",1,1,0
18669,"DB","GreenDB","Brown",1,"Green",0,1,1
18669,"DB","GreenDB","Green",0,"Green",1,0,1
18670,"Water","GreenDB","Brown",0,"Green",0,1,0
18670,"Water","GreenDB","Green",1,"Green",1,0,0
18671,"DB","BrownDB","Brown",1,"Brown",1,0,1
18671,"DB","BrownDB","Green",0,"Brown",0,1,1
18672,"Water","BrownDB","Brown",1,"Green",0,0,0
18672,"Water","BrownDB","Green",0,"Green",1,1,0
18673,"DB","GreenDB","Brown",1,"Brown",1,1,1
18673,"DB","GreenDB","Green",0,"Brown",0,0,1
18675,"Water","GreenDB","Brown",0,"Green",0,1,0
18675,"Water","GreenDB","Green",1,"Green",1,0,0
18676,"DB","BrownDB","Brown",0,"Brown",1,0,1
18676,"DB","BrownDB","Green",1,"Brown",0,1,1
18677,"Water","BrownDB","Brown",0,"Green",0,0,0
18677,"Water","BrownDB","Green",1,"Green",1,1,0
18678,"DB","GreenDB","Brown",0,"Brown",1,1,1
18678,"DB","GreenDB","Green",1,"Brown",0,0,1
18680,"Water","GreenDB","Brown",0,"Green",0,1,0
18680,"Water","GreenDB","Green",1,"Green",1,0,0
18681,"DB","BrownDB","Brown",0,"Brown",1,0,1
18681,"DB","BrownDB","Green",1,"Brown",0,1,1
18683,"Water","BrownDB","Brown",0,"Brown",1,0,0
18683,"Water","BrownDB","Green",1,"Brown",0,1,0
18684,"DB","GreenDB","Brown",1,"Brown",1,1,1
18684,"DB","GreenDB","Green",0,"Brown",0,0,1
18685,"Water","GreenDB","Brown",0,"Brown",1,1,0
18685,"Water","GreenDB","Green",1,"Brown",0,0,0
18686,"DB","BrownDB","Brown",0,"Green",0,0,1
18686,"DB","BrownDB","Green",1,"Green",1,1,1
