"FID","SubGroupName","FocalTermiteColor","FocalTermiteYN","AttackedTermiteColor","FocalTermiteAttackedYN","FocalTermitePalatability"
18651,"BrownDB","Brown",0,"Green",0,0
18651,"BrownDB","Green",1,"Green",1,1
18652,"BrownDB","Brown",1,"Green",0,0
18652,"BrownDB","Green",0,"Green",1,1
18654,"GreenDB","Brown",0,"Brown",1,1
18654,"GreenDB","Green",1,"Brown",0,0
18655,"BrownDB","Brown",1,"Brown",1,0
18655,"BrownDB","Green",0,"Brown",0,1
18656,"BrownDB","Brown",0,"Green",0,0
18656,"BrownDB","Green",1,"Green",1,1
18658,"GreenDB","Brown",1,"Brown",1,1
18658,"GreenDB","Green",0,"Brown",0,0
18659,"BrownDB","Brown",1,"Brown",1,0
18659,"BrownDB","Green",0,"Brown",0,1
18661,"GreenDB","Brown",1,"Green",0,1
18661,"GreenDB","Green",0,"Green",1,0
18662,"GreenDB","Brown",1,"Brown",1,1
18662,"GreenDB","Green",0,"Brown",0,0
18663,"BrownDB","Brown",1,"Brown",1,0
18663,"BrownDB","Green",0,"Brown",0,1
18664,"BrownDB","Brown",0,"Green",0,0
18664,"BrownDB","Green",1,"Green",1,1
18665,"GreenDB","Brown",1,"Green",0,1
18665,"GreenDB","Green",0,"Green",1,0
18666,"GreenDB","Brown",0,"Green",0,1
18666,"GreenDB","Green",1,"Green",1,0
18667,"BrownDB","Brown",1,"Green",0,0
18667,"BrownDB","Green",0,"Green",1,1
18668,"BrownDB","Brown",1,"Brown",1,0
18668,"BrownDB","Green",0,"Brown",0,1
18670,"GreenDB","Brown",0,"Green",0,1
18670,"GreenDB","Green",1,"Green",1,0
18671,"BrownDB","Brown",1,"Brown",1,0
18671,"BrownDB","Green",0,"Brown",0,1
18672,"BrownDB","Brown",0,"Brown",1,0
18672,"BrownDB","Green",1,"Brown",0,1
18673,"GreenDB","Brown",1,"Brown",1,1
18673,"GreenDB","Green",0,"Brown",0,0
18674,"BrownDB","Brown",1,"Brown",1,0
18674,"BrownDB","Green",0,"Brown",0,1
18675,"GreenDB","Brown",1,"Green",0,1
18675,"GreenDB","Green",0,"Green",1,0
18676,"BrownDB","Brown",1,"Green",0,0
18676,"BrownDB","Green",0,"Green",1,1
18677,"BrownDB","Brown",0,"Green",0,0
18677,"BrownDB","Green",1,"Green",1,1
18678,"GreenDB","Brown",1,"Brown",1,1
18678,"GreenDB","Green",0,"Brown",0,0
18680,"GreenDB","Brown",0,"Green",0,1
18680,"GreenDB","Green",1,"Green",1,0
18681,"BrownDB","Brown",1,"Green",0,0
18681,"BrownDB","Green",0,"Green",1,1
18682,"BrownDB","Brown",1,"Green",0,0
18682,"BrownDB","Green",0,"Green",1,1
18683,"BrownDB","Brown",1,"Brown",1,0
18683,"BrownDB","Green",0,"Brown",0,1
18684,"GreenDB","Brown",0,"Brown",1,1
18684,"GreenDB","Green",1,"Brown",0,0
18685,"GreenDB","Brown",1,"Brown",1,1
18685,"GreenDB","Green",0,"Brown",0,0
