"FID","SubGroupName","FocalTermiteColor","FocalTermiteYN","AttackedTermiteColor","FocalTermiteAttackedYN","FocalTermitePalatability"
18617,"BrownDB","Brown",0,"Green",0,0
18617,"BrownDB","Green",1,"Green",1,1
18620,"GreenDB","Brown",1,"Brown",1,1
18620,"GreenDB","Green",0,"Brown",0,0
18623,"BrownDB","Brown",0,"Brown",1,0
18623,"BrownDB","Green",1,"Brown",0,1
18624,"BrownDB","Brown",0,"Green",0,0
18624,"BrownDB","Green",1,"Green",1,1
18625,"GreenDB","Brown",0,"Brown",1,1
18625,"GreenDB","Green",1,"Brown",0,0
18626,"GreenDB","Brown",1,"Green",0,1
18626,"GreenDB","Green",0,"Green",1,0
18627,"GreenDB","Brown",1,"Brown",1,1
18627,"GreenDB","Green",0,"Brown",0,0
18628,"GreenDB","Brown",0,"Green",0,1
18628,"GreenDB","Green",1,"Green",1,0
18629,"BrownDB","Brown",1,"Brown",1,0
18629,"BrownDB","Green",0,"Brown",0,1
18630,"BrownDB","Brown",0,"Green",0,0
18630,"BrownDB","Green",1,"Green",1,1
18631,"BrownDB","Brown",1,"Green",0,0
18631,"BrownDB","Green",0,"Green",1,1
18632,"BrownDB","Brown",1,"Green",0,0
18632,"BrownDB","Green",0,"Green",1,1
18633,"GreenDB","Brown",1,"Brown",1,1
18633,"GreenDB","Green",0,"Brown",0,0
18634,"GreenDB","Brown",1,"Green",0,1
18634,"GreenDB","Green",0,"Green",1,0
18635,"GreenDB","Brown",0,"Green",0,1
18635,"GreenDB","Green",1,"Green",1,0
18636,"GreenDB","Brown",1,"Green",0,1
18636,"GreenDB","Green",0,"Green",1,0
18637,"GreenDB","Brown",1,"Green",0,1
18637,"GreenDB","Green",0,"Green",1,0
18638,"GreenDB","Brown",0,"Brown",1,1
18638,"GreenDB","Green",1,"Brown",0,0
18639,"BrownDB","Brown",1,"Green",0,0
18639,"BrownDB","Green",0,"Green",1,1
18640,"BrownDB","Brown",1,"Brown",1,0
18640,"BrownDB","Green",0,"Brown",0,1
18641,"BrownDB","Brown",0,"Green",0,0
18641,"BrownDB","Green",1,"Green",1,1
18643,"GreenDB","Brown",1,"Green",0,1
18643,"GreenDB","Green",0,"Green",1,0
18644,"GreenDB","Brown",0,"Green",0,1
18644,"GreenDB","Green",1,"Green",1,0
18645,"GreenDB","Brown",1,"Green",0,1
18645,"GreenDB","Green",0,"Green",1,0
18646,"GreenDB","Brown",0,"Brown",1,1
18646,"GreenDB","Green",1,"Brown",0,0
18647,"BrownDB","Brown",0,"Brown",1,0
18647,"BrownDB","Green",1,"Brown",0,1
18648,"BrownDB","Brown",1,"Green",0,0
18648,"BrownDB","Green",0,"Green",1,1
18649,"BrownDB","Brown",0,"Brown",1,0
18649,"BrownDB","Green",1,"Brown",0,1
18650,"BrownDB","Brown",1,"Brown",1,0
18650,"BrownDB","Green",0,"Brown",0,1
18679,"BrownDB","Brown",0,"Brown",1,0
18679,"BrownDB","Green",1,"Brown",0,1
